Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,B,Vel_ref,t_exp,N_exp,SN3950,SN4550,SN5200,SN6750
BPS CS 22166-016,BPS CS 22166-0016,,,00:58:23.8416,-14:47:06.879,14.59933990306,-14.78524406192,-210.0,1,1,1600,1,115,175,95,140
BPS CS 22169-008,BPS CS 22169-0008,,,04:03:36.2820,-12:49:40.297,60.90117520013,-12.82786021857,184.2,0,,4000,1,100,135,70,95
BPS CS 22169-035,HE 0409-1212,,,04:12:13.8814,-12:05:05.075,63.05783928665,-12.084743125019997,14.5,1,2,5500,3,75,135,170,285
BPS CS 22171-031,BPS CS 22171-0031,,,02:09:24.5510,-10:34:16.267,32.35229570933,-10.57118526522,38.8,0,,2800,1,60,80,70,115
BPS CS 22171-037,BPS CS 22171-0037,,,02:08:00.5824,-09:03:48.308,32.00242664748,-9.06341882468,-261.3,1,,14400,2,95,125,125,180
BPS CS 22172-029,HE 0328-1047,,,03:30:45.3602,-10:37:09.844,52.68900099831,-10.61940108073,,2,3,7600,2,80,110,105,180
BPS CS 22174-020,BPS CS 22174-0020,,,01:20:27.2775,-08:47:16.321,20.11365613964,-8.787866950540002,127.5,0,,5100,2,65,90,65,90
BPS CS 22177-009,BPS CS 22177-0009,,,04:07:40.6491,-25:02:43.970,61.919371242100006,-25.045547296130003,-208.0,1,,7800,2,80,115,110,155
BPS CS 22177-010,BPS CS 22177-0010,,,04:10:00.4858,-25:44:38.846,62.50202421192001,-25.74412400478,,2,,9600,3,90,125,130,185
BPS CS 22180-014,G 272-44,,,01:34:02.5086,-12:41:55.010,23.51045231549,-12.69861390411,43.9,0,,2000,1,60,80,80,120
BPS CS 22182-033,BPS CS 22182-0033,,,04:23:10.4798,-30:37:04.190,65.79366575662,-30.617830417579995,247.5,0,,7200,1,85,90,130,180
BPS CS 22182-047,BPS CS 22182-0047,,,04:22:30.1514,-27:34:50.461,65.62563066767,-27.58068365361,39.3,0,,1400,1,80,105,100,155
BPS CS 22183-031,BPS CS 22183-0031,,,01:09:05.0901,-04:43:21.344,17.27120871464,-4.72259543901,,2,4,1400,1,75,105,75,105
BPS CS 22185-007,HE 0315-1528,,,03:17:36.0539,-15:17:22.698,49.4002246147,-15.28963833824,102.0,0,,2000,1,60,95,85,150
BPS CS 22186-002,BPS CS 22186-0002,,,04:13:57.2124,-36:46:25.312,63.48838481662,-36.77369766057,341.8,1,,4600,2,100,140,135,200
BPS CS 22186-017,BPS CS 22186-0017,,,04:16:22.2706,-34:17:57.676,64.09279397211,-34.29935431818,303.2,1,,5000,2,90,125,125,180
BPS CS 22186-023,BPS CS 22186-0023,DW,Atari,04:19:45.5332,-36:51:35.981,64.93972187311,-36.85999471868999,52.0,1,3,4400,2,90,135,150,225
BPS CS 22189-009,HE 0239-1340,,,02:41:42.3722,-13:28:10.604,40.42655064423,-13.469612165900001,-20.4,1,"2,5",3000,1,100,150,85,130
BPS CS 22191-029,BPS CS 22191-0029,,,04:47:42.4786,-39:07:26.464,71.92699412438,-39.12401773804,76.3,1,,7800,2,90,125,125,190
BPS CS 22871-104,BPS CS 22871-0104,,,14:50:53.0901,-20:48:37.755,222.72120874431,-20.81048737594,-135.4,0,,3600,1,40,45,65,85
BPS CS 22872-102,BPS CS 22872-0102,,,16:29:20.6944,-03:04:56.728,247.33622684161998,-3.08242448698,-59.1,1,6,1800,1,70,100,75,100
