Name,Vel,B,Vel_ref,t_exp,N_exp,SN3950,SN4550,SN5200,SN6750
BPS CS 22166-016,-210.0,1,1,1600,1,115,175,95,140
BPS CS 22169-008,184.2,0,,4000,1,100,135,70,95
BPS CS 22169-035,14.5,1,2,5500,3,75,135,170,285
BPS CS 22171-031,38.8,0,,2800,1,60,80,70,115
BPS CS 22171-037,-261.3,1,,14400,2,95,125,125,180
BPS CS 22172-029,,2,3,7600,2,80,110,105,180
BPS CS 22174-020,127.5,0,,5100,2,65,90,65,90
BPS CS 22177-009,-208.0,1,,7800,2,80,115,110,155
BPS CS 22177-010,,2,,9600,3,90,125,130,185
BPS CS 22180-014,43.9,0,,2000,1,60,80,80,120
BPS CS 22182-033,247.5,0,,7200,1,85,90,130,180
BPS CS 22182-047,39.3,0,,1400,1,80,105,100,155
BPS CS 22183-031,,2,4,1400,1,75,105,75,105
BPS CS 22185-007,102.0,0,,2000,1,60,95,85,150
BPS CS 22186-002,341.8,1,,4600,2,100,140,135,200
BPS CS 22186-017,303.2,1,,5000,2,90,125,125,180
BPS CS 22186-023,52.0,1,3,4400,2,90,135,150,225
BPS CS 22189-009,-20.4,1,"2,5",3000,1,100,150,85,130
BPS CS 22191-029,76.3,1,,7800,2,90,125,125,190
BPS CS 22871-104,-135.4,0,,3600,1,40,45,65,85
BPS CS 22872-102,-59.1,1,6,1800,1,70,100,75,100
BPS CS 22873-072,-83.9,1,,5800,2,65,85,105,140
BPS CS 22873-128,205.7,1,5,1400,1,70,105,80,115
BPS CS 22874-123,105.0,0,,4000,1,55,65,90,125
BPS CS 22875-029,72.9,1,,7200,2,110,115,160,220
BPS CS 22876-040,-189.9,0,,5800,1,60,100,90,135
BPS CS 22877-001,,2,"1,7,8",5600,4,150,230,265,405
BPS CS 22877-011,230.3,1,5,12100,4,110,165,175,275
BPS CS 22877-015,85.6,0,,4200,2,70,115,150,210
BPS CS 22877-051,291.7,1,,10000,3,105,150,145,195
BPS CS 22878-002,-190.1,0,,7200,2,80,95,140,185
BPS CS 22878-027,-91.1,1,6,7200,2,60,125,115,160
BPS CS 22878-101,,2,"2,5,9,10",2400,1,60,95,75,115
BPS CS 22879-012,-50.4,0,,6200,2,120,175,90,125
BPS CS 22879-029,-131.6,3,,15650,8,110,160,130,190
BPS CS 22879-051,-43.0,0,,2000,1,65,90,65,90
BPS CS 22879-094,47.6,0,,6400,1,65,95,70,100
BPS CS 22879-097,26.4,0,,7200,1,60,85,100,145
BPS CS 22879-103,-31.0,1,,8600,2,95,110,150,210
BPS CS 22880-067,-183.0,0,,4800,1,50,55,85,115
BPS CS 22880-086,-112.2,0,6,7200,1,60,80,120,180
BPS CS 22881-032,-29.3,0,,3500,1,30,40,30,45
BPS CS 22881-036,43.7,1,11,3200,3,65,100,95,145
BPS CS 22881-039,,2,,14000,2,85,90,120,165
BPS CS 22881-070,-115.9,0,,3600,1,80,105,75,90
BPS CS 22882-001,26.5,1,,10800,2,85,95,120,170
BPS CS 22882-006,-81.5,0,,3000,1,60,75,70,110
BPS CS 22882-012,-0.2,0,,7200,1,70,105,85,125
BPS CS 22882-030,21.6,0,,7600,2,55,90,70,115
BPS CS 22883-037,-262.8,0,,10800,2,60,80,95,130
BPS CS 22884-020,29.2,1,,10600,3,65,100,110,160
BPS CS 22884-108,,2,6,3600,1,60,75,105,145
BPS CS 22885-040,73.2,1,,17000,2,80,100,105,135
BPS CS 22885-096,-249.1,1,"2,5",2100,1,75,110,85,120
BPS CS 22885-203,-33.9,0,,2900,1,60,75,70,110
BPS CS 22886-003,-91.9,1,,4800,2,60,85,70,105
BPS CS 22886-012,-56.9,1,,5400,2,60,85,80,130
BPS CS 22886-013,-40.7,0,,2000,1,55,80,60,80
BPS CS 22886-044,-130.1,1,,5300,2,60,85,85,135
BPS CS 22888-002,35.4,0,,3800,1,60,80,60,75
BPS CS 22888-014,-128.6,1,,6900,2,60,90,80,125
BPS CS 22888-031,-124.8,0,,7600,2,100,140,70,95
BPS CS 22888-047,-158.3,1,,10400,2,95,105,150,205
BPS CS 22889-050,217.1,0,,3600,1,65,75,105,140
BPS CS 22890-011,-128.7,1,,4900,2,65,85,100,135
BPS CS 22890-024,228.7,1,,5200,2,85,115,120,170
BPS CS 22890-064,-88.5,0,,4000,1,65,70,95,125
BPS CS 22891-184,26.5,1,12,9000,1,60,95,90,160
BPS CS 22891-200,137.2,1,"5,13",4100,1,65,105,85,130
BPS CS 22891-209,80.7,1,"2,5",600,1,60,95,75,120
BPS CS 22891-221,35.8,0,,8000,1,95,190,110,170
BPS CS 22892-025,170.0,0,,1800,1,65,85,65,85
BPS CS 22892-052,13.0,1,"2,4,5,14",4800,2,150,225,175,270
BPS CS 22893-005,-68.9,0,,3600,1,60,100,80,135
BPS CS 22893-010,,2,10,3600,1,45,75,65,115
BPS CS 22893-011,-115.6,0,,3500,1,60,75,75,115
BPS CS 22894-004,-4.5,0,,3200,1,55,75,70,105
BPS CS 22894-019,30.9,1,2,3400,1,110,170,85,120
BPS CS 22894-023,-328.1,0,,2800,1,115,170,85,115
BPS CS 22894-049,-5.6,0,,3600,1,60,95,85,135
BPS CS 22896-015,53.1,0,,3900,1,60,90,80,140
BPS CS 22896-055,-73.5,1,,5300,2,80,120,125,180
BPS CS 22896-110,84.3,1,,6300,2,80,130,120,195
BPS CS 22896-115,7.1,1,,9000,2,140,195,95,125
BPS CS 22896-136,-17.5,1,,10200,6,120,165,100,135
BPS CS 22897-008,266.5,1,"2,5",2900,1,60,95,75,130
BPS CS 22898-043,113.2,1,,13000,3,120,155,175,260
BPS CS 22898-047,,2,,12900,2,135,210,130,200
BPS CS 22937-072,-143.8,0,,7200,2,85,115,140,205
BPS CS 22940-070,78.5,0,,9000,1,80,110,125,170
BPS CS 22940-077,,0,12,1000,1,50,80,110,180
BPS CS 22940-121,-31.1,1,,8800,2,95,110,160,235
BPS CS 22941-017,106.9,0,,6400,1,60,90,80,135
BPS CS 22941-027,-93.6,1,,9300,2,95,110,155,210
BPS CS 22942-002,-160.2,1,3,6900,2,160,225,140,220
BPS CS 22942-011,10.7,0,,1200,1,65,105,90,160
BPS CS 22942-035,-94.2,1,,7500,2,65,110,110,190
BPS CS 22943-059,239.5,0,,4400,1,105,145,70,95
BPS CS 22943-095,-149.4,0,,400,1,70,90,65,75
BPS CS 22943-132,18.9,0,,1400,1,75,105,75,95
BPS CS 22943-137,-31.1,1,,5000,2,65,80,100,145
BPS CS 22943-201,36.7,1,,10600,4,85,120,85,120
BPS CS 22944-014,-381.2,0,,2100,1,65,90,65,90
BPS CS 22944-032,19.0,1,6,7200,3,150,235,145,225
BPS CS 22944-061,157.3,0,,3000,1,60,80,60,75
BPS CS 22945-017,101.8,0,,3400,1,60,75,75,115
BPS CS 22945-024,148.2,0,,5400,1,55,90,70,110
BPS CS 22945-028,389.0,0,,5200,1,60,90,80,140
BPS CS 22945-031,196.4,0,,4400,1,65,90,65,90
BPS CS 22945-056,222.5,0,,3200,1,60,85,60,90
BPS CS 22945-058,23.4,1,,6950,2,60,85,80,125
BPS CS 22945-063,167.8,0,,5000,1,60,95,80,130
BPS CS 22947-187,-251.2,1,5,1200,1,75,110,80,110
BPS CS 22948-066,-171.0,1,"2,5,15",2400,2,60,95,80,130
BPS CS 22948-093,,2,,10300,4,85,110,75,95
BPS CS 22949-030,-85.6,0,,2800,1,60,80,80,120
BPS CS 22949-037,-125.4,1,"2,5,16,17",6350,2,65,100,85,135
BPS CS 22949-048,-160.8,1,5,2600,1,65,100,80,120
BPS CS 22950-046,108.8,1,"5,9",4800,1,55,95,75,120
BPS CS 22951-005,231.9,0,,7350,2,70,100,65,95
BPS CS 22951-059,88.2,1,,9200,2,65,95,80,130
BPS CS 22951-077,108.9,1,,6800,2,95,110,160,230
BPS CS 22952-015,-17.9,1,"2,5",1800,1,70,105,85,120
BPS CS 22953-003,208.3,1,"2,5",2000,1,65,95,75,100
BPS CS 22953-037,-162.5,1,,7600,2,110,150,145,215
BPS CS 22954-004,-10.5,0,,2400,1,105,140,70,95
BPS CS 22954-015,-50.0,0,,1400,1,60,80,80,120
BPS CS 22955-110,3.8,3,18,1800,1,115,170,85,110
BPS CS 22955-174,-9.3,1,,14800,3,115,155,175,260
BPS CS 22956-015,-33.6,0,,2000,1,60,90,65,85
BPS CS 22956-021,40.0,0,,3600,1,65,90,65,80
BPS CS 22956-050,0.2,1,2,5600,2,60,95,85,155
BPS CS 22956-062,187.9,0,,7200,2,60,80,80,130
BPS CS 22956-081,244.6,1,,10100,2,55,85,75,110
BPS CS 22956-102,,2,,10700,2,55,80,75,120
BPS CS 22956-106,,2,,6200,3,60,90,80,120
BPS CS 22956-110,-86.1,0,,8000,1,65,90,65,80
BPS CS 22956-114,-37.5,0,,4000,2,55,85,75,130
BPS CS 22957-013,-214.4,0,,2800,1,50,80,75,135
BPS CS 22957-019,-33.0,1,,7570,3,110,175,155,245
BPS CS 22957-022,-31.6,1,6,1200,1,60,85,65,90
BPS CS 22957-024,-67.4,0,,9300,2,115,180,90,125
BPS CS 22957-026,-18.9,1,,1900,2,70,100,95,145
BPS CS 22957-027,-67.7,3,"14,19,20,21",1000,1,40,55,60,95
BPS CS 22957-036,-154.5,0,,3600,1,60,80,80,120
BPS CS 22958-037,209.5,0,,3600,1,65,85,65,90
BPS CS 22958-041,-76.3,0,,7200,1,55,70,85,115
BPS CS 22958-042,,2,22,9600,3,60,90,110,155
BPS CS 22958-052,88.9,0,,3000,1,80,105,55,75
BPS CS 22958-065,105.8,0,,3600,1,55,75,55,80
BPS CS 22958-074,319.8,0,,3000,1,60,85,60,85
