Name,Ion,lambda,l_logepsX,logepsX,e_logepsX
CS 22880-086,Ti I,4533.24,,1.83,0.16
CS 22880-086,Ti I,4534.78,,1.98,0.15
CS 22880-086,Ti I,4981.73,,1.97,0.16
CS 22880-086,Ti I,4991.07,,1.88,0.17
CS 22880-086,Ti I,4999.5,,1.8,0.19
CS 22880-086,Ti I,5064.65,,1.82,0.19
CS 22880-086,Ti I,5192.97,,1.97,0.18
CS 22880-086,Ti I,5210.38,,1.96,0.18
CS 22880-086,Ti II,3759.29,,1.95,0.3
CS 22880-086,Ti II,3761.32,,1.87,0.31
CS 22880-086,Ti II,3913.46,,2.01,0.28
CS 22880-086,Ti II,4028.34,,1.88,0.19
CS 22880-086,Ti II,4394.06,,1.77,0.16
CS 22880-086,Ti II,4395.03,,1.9,0.22
CS 22880-086,Ti II,4395.84,,1.86,0.17
CS 22880-086,Ti II,4399.77,,1.9,0.17
CS 22880-086,Ti II,4417.71,,1.84,0.16
CS 22880-086,Ti II,4418.33,,1.85,0.17
CS 22880-086,Ti II,4443.8,,1.86,0.19
CS 22880-086,Ti II,4450.48,,1.89,0.16
CS 22880-086,Ti II,4464.45,,1.92,0.15
CS 22880-086,Ti II,4470.85,,1.99,0.17
CS 22880-086,Ti II,4501.27,,1.85,0.18
CS 22880-086,Ti II,4533.96,,1.75,0.19
CS 22880-086,Ti II,4571.97,,1.67,0.19
CS 22880-086,Ti II,5188.69,,1.82,0.19
CS 22880-086,Ti II,5226.54,,1.95,0.16
CS 22880-086,Ti II,5336.79,,1.84,0.17
CS 22880-086,V II,4005.71,,0.95,0.27
CS 22880-086,Cr I,3578.68,,2.08,0.43
CS 22880-086,Cr I,4274.8,,1.98,0.29
CS 22880-086,Cr I,4289.72,,2.1,0.3
CS 22880-086,Cr I,5206.04,,2.05,0.17
CS 22880-086,Cr I,5409.77,,2.12,0.17
CS 22880-086,Mn I,4030.75,,1.84,0.41
CS 22880-086,Mn I,4033.06,,1.77,0.29
CS 22880-086,Mn I,4034.48,,1.8,0.25
CS 22880-086,Mn I,4041.35,,1.88,0.18
CS 22880-086,Mn II,3460.32,,1.5,0.24
CS 22880-086,Mn II,3482.9,,1.75,0.24
CS 22880-086,Mn II,3488.68,,2.21,0.26
CS 22880-086,Mn II,3497.53,,1.85,0.23
CS 22880-086,Fe I,3497.84,,4.11,0.45
CS 22880-086,Fe I,3608.86,,4.19,0.41
CS 22880-086,Fe I,3786.68,,4.26,0.23
CS 22880-086,Fe I,3787.88,,4.15,0.43
CS 22880-086,Fe I,3815.84,,4.12,0.43
CS 22880-086,Fe I,3827.82,,4.12,0.43
CS 22880-086,Fe I,3840.44,,4.15,0.43
CS 22880-086,Fe I,3849.97,,4.12,0.42
CS 22880-086,Fe I,3856.37,,4.14,0.42
CS 22880-086,Fe I,3865.52,,4.13,0.41
CS 22880-086,Fe I,3878.02,,4.22,0.42
CS 22880-086,Fe I,3895.66,,4.3,0.43
CS 22880-086,Fe I,3899.71,,4.13,0.43
CS 22880-086,Fe I,3902.95,,4.29,0.42
CS 22880-086,Fe I,3920.26,,4.22,0.43
CS 22880-086,Fe I,3922.91,,4.26,0.43
CS 22880-086,Fe I,3949.95,,4.14,0.16
CS 22880-086,Fe I,4005.24,,4.25,0.39
CS 22880-086,Fe I,4063.59,,4.31,0.43
CS 22880-086,Fe I,4071.74,,4.36,0.43
CS 22880-086,Fe I,4134.68,,4.19,0.15
CS 22880-086,Fe I,4143.87,,4.16,0.38
CS 22880-086,Fe I,4147.67,,4.21,0.15
CS 22880-086,Fe I,4154.5,,4.15,0.15
CS 22880-086,Fe I,4156.8,,4.27,0.15
CS 22880-086,Fe I,4157.78,,4.14,0.16
CS 22880-086,Fe I,4174.91,,4.24,0.15
CS 22880-086,Fe I,4175.64,,4.29,0.15
CS 22880-086,Fe I,4181.76,,4.24,0.16
CS 22880-086,Fe I,4184.89,,4.26,0.15
CS 22880-086,Fe I,4187.04,,4.07,0.17
CS 22880-086,Fe I,4187.8,,4.16,0.19
CS 22880-086,Fe I,4191.43,,4.21,0.17
CS 22880-086,Fe I,4195.33,,4.25,0.16
CS 22880-086,Fe I,4199.1,,4.21,0.19
CS 22880-086,Fe I,4202.03,,4.15,0.36
CS 22880-086,Fe I,4216.18,,4.35,0.22
CS 22880-086,Fe I,4222.21,,4.11,0.15
CS 22880-086,Fe I,4227.43,,4.26,0.17
CS 22880-086,Fe I,4233.6,,4.22,0.18
CS 22880-086,Fe I,4238.81,,4.11,0.15
CS 22880-086,Fe I,4250.12,,4.24,0.22
CS 22880-086,Fe I,4250.79,,4.34,0.37
CS 22880-086,Fe I,4260.47,,4.27,0.34
CS 22880-086,Fe I,4271.15,,4.28,0.25
CS 22880-086,Fe I,4271.76,,4.32,0.43
CS 22880-086,Fe I,4282.4,,4.08,0.18
CS 22880-086,Fe I,4325.76,,4.28,0.43
CS 22880-086,Fe I,4375.93,,4.27,0.27
CS 22880-086,Fe I,4404.75,,4.34,0.43
CS 22880-086,Fe I,4415.12,,4.27,0.36
CS 22880-086,Fe I,4442.34,,4.21,0.15
CS 22880-086,Fe I,4443.19,,4.09,0.16
CS 22880-086,Fe I,4447.72,,4.26,0.15
CS 22880-086,Fe I,4466.55,,4.29,0.15
CS 22880-086,Fe I,4489.74,,4.22,0.15
CS 22880-086,Fe I,4494.56,,4.21,0.15
CS 22880-086,Fe I,4531.15,,4.18,0.15
CS 22880-086,Fe I,4592.65,,4.1,0.15
CS 22880-086,Fe I,4736.77,,4.25,0.16
CS 22880-086,Fe I,4871.32,,4.19,0.15
CS 22880-086,Fe I,4872.14,,4.09,0.15
CS 22880-086,Fe I,4891.49,,4.19,0.17
CS 22880-086,Fe I,4903.31,,4.27,0.16
CS 22880-086,Fe I,4918.99,,4.12,0.15
CS 22880-086,Fe I,4920.5,,4.15,0.19
CS 22880-086,Fe I,4938.81,,4.24,0.17
CS 22880-086,Fe I,4966.09,,4.28,0.19
CS 22880-086,Fe I,4994.13,,4.16,0.15
CS 22880-086,Fe I,5006.12,,4.11,0.15
CS 22880-086,Fe I,5049.82,,4.23,0.15
CS 22880-086,Fe I,5051.63,,4.28,0.15
CS 22880-086,Fe I,5079.74,,4.19,0.16
CS 22880-086,Fe I,5083.34,,4.15,0.15
CS 22880-086,Fe I,5123.72,,4.28,0.15
CS 22880-086,Fe I,5127.36,,4.06,0.16
CS 22880-086,Fe I,5150.84,,4.22,0.15
CS 22880-086,Fe I,5151.91,,4.37,0.15
CS 22880-086,Fe I,5166.28,,4.11,0.15
CS 22880-086,Fe I,5171.6,,4.21,0.16
CS 22880-086,Fe I,5191.45,,4.27,0.15
CS 22880-086,Fe I,5192.34,,4.22,0.15
CS 22880-086,Fe I,5194.94,,4.09,0.15
CS 22880-086,Fe I,5202.34,,4.3,0.15
CS 22880-086,Fe I,5216.27,,4.35,0.15
CS 22880-086,Fe I,5232.94,,4.11,0.15
CS 22880-086,Fe I,5281.79,,4.15,0.16
CS 22880-086,Fe I,5283.62,,4.26,0.15
CS 22880-086,Fe I,5332.9,,4.08,0.17
CS 22880-086,Fe I,5339.93,,4.35,0.15
CS 22880-086,Fe I,5367.47,,4.28,0.16
CS 22880-086,Fe I,5369.96,,4.25,0.16
CS 22880-086,Fe I,5383.37,,4.28,0.15
CS 22880-086,Fe I,5415.2,,4.26,0.15
CS 22880-086,Fe I,5497.52,,4.35,0.15
CS 22880-086,Fe I,5501.47,,4.32,0.15
CS 22880-086,Fe I,5506.78,,4.3,0.15
CS 22880-086,Fe I,5586.76,,4.21,0.15
CS 22880-086,Fe I,6065.48,,4.13,0.16
CS 22880-086,Fe I,6136.61,,4.25,0.15
CS 22880-086,Fe I,6137.69,,4.25,0.15
CS 22880-086,Fe I,6191.56,,4.14,0.15
CS 22880-086,Fe I,6230.72,,4.31,0.15
CS 22880-086,Fe I,6393.6,,4.24,0.16
CS 22880-086,Fe I,6421.35,,4.3,0.16
CS 22880-086,Fe I,6430.85,,4.28,0.16
CS 22880-086,Fe I,6494.98,,4.26,0.15
CS 22880-086,Fe I,6677.99,,4.25,0.16
CS 22880-086,Fe II,4178.86,,4.22,0.16
CS 22880-086,Fe II,4233.17,,4.24,0.15
CS 22880-086,Fe II,4491.41,,4.22,0.17
CS 22880-086,Fe II,4515.34,,4.27,0.16
CS 22880-086,Fe II,4555.89,,4.23,0.16
CS 22880-086,Fe II,5234.63,,4.31,0.16
CS 22880-086,Co I,3842.05,,1.93,0.21
CS 22880-086,Co I,3845.47,,1.94,0.29
CS 22880-086,Co I,3894.08,,2.0,0.33
CS 22880-086,Co I,4121.32,,1.88,0.24
CS 22880-086,Ni I,3472.54,,2.96,0.47
CS 22880-086,Ni I,3492.96,,3.36,0.42
CS 22880-086,Ni I,3597.7,,3.24,0.46
CS 22880-086,Ni I,3783.53,,3.45,0.44
CS 22880-086,Ni I,3807.14,,2.9,0.37
CS 22880-086,Ni I,5476.91,,3.05,0.2
CS 22880-086,Zn I,4722.16,<,2.01,
CS 22880-086,Zn I,4810.54,<,2.1,
CS 22880-086,Sr II,4077.71,,-0.35,0.31
CS 22880-086,Sr II,4215.52,,-0.44,0.29
CS 22880-086,Y II,3600.73,,-1.48,0.23
CS 22880-086,Y II,3774.33,,-1.54,0.21
CS 22880-086,Zr II,4149.2,,-0.77,0.21
CS 22880-086,Nb II,3818.86,<,0.49,
CS 22880-086,Mo I,3864.1,<,-0.05,
CS 22880-086,Tc I,4262.27,<,0.11,
CS 22880-086,Sn I,3801.02,<,1.49,
CS 22880-086,Ba II,4554.03,,-2.13,0.19
CS 22880-086,Ba II,6141.73,,-2.12,0.18
CS 22880-086,Ce II,3999.24,<,-0.82,
CS 22880-086,Ce II,4073.47,<,-0.69,
CS 22880-086,Ce II,4083.22,<,-1.07,
CS 22880-086,Ce II,4418.78,<,-1.2,
CS 22880-086,Ce II,4562.36,<,-0.83,
CS 22880-086,Pr II,4062.8,<,-1.28,
CS 22880-086,Pr II,4143.13,<,-1.35,
CS 22880-086,Pr II,4179.4,<,-1.57,
CS 22880-086,Pr II,4408.81,<,-1.23,
CS 22880-086,Nd II,4109.45,<,-1.54,
CS 22880-086,Nd II,4446.38,<,-0.9,
CS 22880-086,Nd II,4462.98,<,-1.02,
CS 22880-086,Nd II,4706.54,<,-0.7,
CS 22880-086,Nd II,4825.48,<,-0.64,
CS 22880-086,Sm II,4424.34,<,-1.26,
CS 22880-086,Sm II,4467.34,<,-1.13,
CS 22880-086,Eu II,3819.67,<,-2.39,
CS 22880-086,Eu II,3907.11,<,-1.87,
CS 22880-086,Eu II,4129.72,<,-2.55,
CS 22880-086,Eu II,4205.04,<,-2.37,
CS 22880-086,Gd II,4130.37,<,-0.99,
CS 22880-086,Gd II,4251.73,<,-0.73,
CS 22880-086,Tb II,3848.73,<,-1.56,
CS 22880-086,Tb II,4002.57,<,-0.75,
CS 22880-086,Tb II,4752.53,<,-0.76,
CS 22880-086,Dy II,3944.68,<,-1.59,
CS 22880-086,Dy II,4449.7,<,-0.48,
CS 22880-086,Ho II,3810.71,<,-1.49,
CS 22880-086,Er II,3729.52,<,-0.84,
CS 22880-086,Er II,3830.48,<,-1.35,
CS 22880-086,Er II,3896.23,<,-1.43,
CS 22880-086,Tm II,3848.02,<,-1.79,
CS 22880-086,Tm II,3996.51,<,-0.84,
CS 22880-086,Yb II,3694.2,<,-2.24,
CS 22880-086,Hf II,3918.09,<,-0.52,
CS 22880-086,Hf II,4093.15,<,-0.82,
CS 22880-086,Pb I,4057.81,<,0.95,
CS 22880-086,Th II,4019.13,<,-1.6,
CS 22880-086,Th II,4094.75,<,-1.14,
CS 22881-032,Li I,6707.8,,1.66,0.21
CS 22881-032,O I,7771.94,<,7.23,
CS 22881-032,O I,7774.17,<,7.53,
CS 22881-032,O I,7775.39,<,7.67,
CS 22881-032,Na I,5889.95,,2.51,0.25
CS 22881-032,Na I,5895.92,,2.55,0.23
CS 22881-032,Mg I,4702.99,,4.55,0.21
CS 22881-032,Mg I,5172.68,,4.68,0.4
CS 22881-032,Mg I,5183.6,,4.44,0.4
CS 22881-032,Al I,3943.99,,2.02,0.25
CS 22881-032,Al I,3961.52,,2.19,0.3
CS 22881-032,Si I,3905.52,,4.31,0.45
CS 22881-032,Ca I,4226.73,,3.28,0.42
CS 22881-032,Ca I,4283.01,,3.46,0.23
CS 22881-032,Ca I,4434.96,,3.23,0.23
CS 22881-032,Ca I,4454.78,,3.47,0.23
CS 22881-032,Ca I,6162.17,,3.45,0.23
CS 22881-032,Sc II,4246.84,,-0.14,0.18
CS 22881-032,Ti II,3759.29,,2.02,0.28
CS 22881-032,Ti II,3761.32,,2.36,0.27
CS 22881-032,Ti II,3913.46,,1.72,0.19
CS 22881-032,Ti II,4395.03,,2.07,0.21
CS 22881-032,Ti II,4417.71,,2.13,0.16
CS 22881-032,Ti II,4443.8,,1.81,0.17
CS 22881-032,Ti II,4501.27,,1.88,0.16
CS 22881-032,Ti II,4533.96,,2.05,0.19
CS 22881-032,Ti II,4571.97,,2.0,0.18
CS 22881-032,V II,3951.96,<,1.9,
CS 22881-032,V II,4005.71,<,1.84,
CS 22881-032,Cr I,4274.8,,1.83,0.24
CS 22881-032,Cr I,4289.72,,1.85,0.22
CS 22881-032,Mn I,4030.75,,0.97,0.33
CS 22881-032,Mn I,4034.48,,1.44,0.25
CS 22881-032,Fe I,3565.38,,3.72,0.41
CS 22881-032,Fe I,3647.84,,3.87,0.41
CS 22881-032,Fe I,3727.62,,4.1,0.4
CS 22881-032,Fe I,3758.23,,3.74,0.4
CS 22881-032,Fe I,3763.79,,4.12,0.4
CS 22881-032,Fe I,3787.88,,3.76,0.34
CS 22881-032,Fe I,3815.84,,3.91,0.4
CS 22881-032,Fe I,3820.43,,3.79,0.39
CS 22881-032,Fe I,3825.88,,3.87,0.4
CS 22881-032,Fe I,3827.82,,3.86,0.39
CS 22881-032,Fe I,3841.05,,3.69,0.36
CS 22881-032,Fe I,3849.97,,4.02,0.37
CS 22881-032,Fe I,3856.37,,4.08,0.4
CS 22881-032,Fe I,3865.52,,4.02,0.36
CS 22881-032,Fe I,3878.02,,4.03,0.37
CS 22881-032,Fe I,3895.66,,3.97,0.38
CS 22881-032,Fe I,3899.71,,4.01,0.39
CS 22881-032,Fe I,3902.95,,4.11,0.36
CS 22881-032,Fe I,3920.26,,3.92,0.37
CS 22881-032,Fe I,3922.91,,4.02,0.39
CS 22881-032,Fe I,4005.24,,3.7,0.25
CS 22881-032,Fe I,4045.81,,4.12,0.39
CS 22881-032,Fe I,4063.59,,3.97,0.39
CS 22881-032,Fe I,4071.74,,3.88,0.37
CS 22881-032,Fe I,4132.06,,3.87,0.25
CS 22881-032,Fe I,4187.04,,3.98,0.2
CS 22881-032,Fe I,4191.43,,4.08,0.2
CS 22881-032,Fe I,4199.1,,4.0,0.2
CS 22881-032,Fe I,4202.03,,3.91,0.28
CS 22881-032,Fe I,4227.43,,3.98,0.2
CS 22881-032,Fe I,4233.6,,3.79,0.21
CS 22881-032,Fe I,4250.12,,3.81,0.2
CS 22881-032,Fe I,4250.79,,4.03,0.28
CS 22881-032,Fe I,4260.47,,4.05,0.28
CS 22881-032,Fe I,4271.15,,4.02,0.21
CS 22881-032,Fe I,4271.76,,4.02,0.38
CS 22881-032,Fe I,4325.76,,3.96,0.37
CS 22881-032,Fe I,4404.75,,4.09,0.37
CS 22881-032,Fe I,4415.12,,3.9,0.26
CS 22881-032,Fe I,4920.5,,4.02,0.21
CS 22881-032,Fe I,5371.49,,3.83,0.2
CS 22881-032,Fe I,5429.7,,4.19,0.21
CS 22881-032,Fe I,5434.52,,4.01,0.2
CS 22881-032,Fe II,4233.17,,4.4,0.14
CS 22881-032,Co I,4121.32,,1.7,0.24
CS 22881-032,Ni I,3492.96,,2.44,0.44
CS 22881-032,Ni I,3783.53,,2.6,0.26
CS 22881-032,Zn I,4722.16,<,2.71,
CS 22881-032,Zn I,4810.54,<,2.45,
CS 22881-032,Sr II,4077.71,,-0.43,0.27
CS 22881-032,Sr II,4215.52,,-0.46,0.24
CS 22881-032,Y II,3600.73,<,-0.61,
CS 22881-032,Y II,3774.33,<,-0.83,
CS 22881-032,Y II,4398.01,<,0.16,
CS 22881-032,Y II,4883.68,<,-0.18,
CS 22881-032,Y II,5087.42,<,0.63,
CS 22881-032,Y II,5200.41,<,0.89,
CS 22881-032,Zr II,4149.2,<,0.23,
CS 22881-032,Zr II,4161.2,<,0.77,
CS 22881-032,Zr II,4208.98,<,0.87,
CS 22881-032,Nb II,3818.86,<,1.69,
CS 22881-032,Mo I,3864.1,<,0.85,
CS 22881-032,Tc I,4262.27,<,1.22,
CS 22881-032,Ba II,4554.03,,-1.67,0.17
CS 22881-032,Ce II,3999.24,<,0.49,
CS 22881-032,Ce II,4073.47,<,0.4,
CS 22881-032,Ce II,4083.22,<,0.14,
CS 22881-032,Ce II,4418.78,<,-0.11,
CS 22881-032,Ce II,4562.36,<,0.12,
CS 22881-032,Pr II,4062.8,<,-0.03,
CS 22881-032,Pr II,4143.13,<,-0.26,
CS 22881-032,Pr II,4179.4,<,-0.28,
CS 22881-032,Pr II,4222.95,<,-0.06,
CS 22881-032,Pr II,4408.81,<,-0.15,
CS 22881-032,Nd II,4109.45,<,-0.17,
CS 22881-032,Nd II,4446.38,<,0.48,
CS 22881-032,Nd II,4462.98,<,0.25,
CS 22881-032,Nd II,4706.54,<,0.46,
CS 22881-032,Nd II,4825.48,<,0.44,
CS 22881-032,Sm II,4424.34,<,-0.14,
CS 22881-032,Sm II,4467.34,<,-0.08,
CS 22881-032,Eu II,3819.67,<,-1.0,
CS 22881-032,Eu II,3907.11,<,-0.71,
CS 22881-032,Eu II,4129.72,<,-1.19,
CS 22881-032,Eu II,4205.04,<,-1.37,
CS 22881-032,Gd II,4049.85,<,0.37,
CS 22881-032,Gd II,4130.37,<,0.21,
CS 22881-032,Gd II,4251.73,<,0.43,
CS 22881-032,Tb II,3874.17,<,-0.15,
CS 22881-032,Tb II,4002.57,<,0.43,
CS 22881-032,Tb II,4752.53,<,0.31,
CS 22881-032,Dy II,3944.68,<,-0.49,
CS 22881-032,Dy II,4449.7,<,0.7,
CS 22881-032,Ho II,3810.71,<,-0.7,
CS 22881-032,Ho II,4045.45,<,-0.46,
CS 22881-032,Er II,3729.52,<,0.32,
CS 22881-032,Er II,3896.23,<,-0.28,
CS 22881-032,Tm II,3848.02,<,-0.45,
CS 22881-032,Tm II,3996.51,<,0.34,
CS 22881-032,Yb II,3694.2,<,-1.17,
CS 22881-032,Hf II,4093.15,<,0.78,
CS 22881-032,Pb I,4057.81,<,1.54,
CS 22881-032,Th II,4019.13,<,-0.56,
CS 22881-032,Th II,4094.75,<,0.33,
CS 22881-036,Li I,6707.8,<,1.22,
CS 22881-036,O I,7771.94,,6.81,0.32
CS 22881-036,O I,7774.17,,6.92,0.32
CS 22881-036,O I,7775.39,,6.98,0.32
CS 22881-036,Na I,5889.95,,4.16,0.4
CS 22881-036,Na I,5895.92,,4.2,0.41
CS 22881-036,Mg I,3829.36,,5.76,0.38
CS 22881-036,Mg I,4702.99,,6.03,0.32
CS 22881-036,Mg I,5172.68,,5.67,0.38
CS 22881-036,Mg I,5183.6,,5.74,0.39
CS 22881-036,Mg I,5528.4,,5.75,0.27
CS 22881-036,Al I,3961.52,,3.52,0.41
CS 22881-036,K I,7698.96,,2.86,0.25
CS 22881-036,Ca I,4455.89,,4.51,0.23
CS 22881-036,Ca I,5588.76,,4.38,0.24
CS 22881-036,Ca I,5857.45,,4.39,0.23
CS 22881-036,Ca I,6102.72,,4.39,0.24
CS 22881-036,Ca I,6122.22,,4.39,0.23
CS 22881-036,Ca I,6162.17,,4.41,0.24
CS 22881-036,Ca I,6439.07,,4.4,0.23
CS 22881-036,Sc II,4415.56,,1.01,0.15
CS 22881-036,Ti I,3989.76,,2.87,0.22
CS 22881-036,Ti I,3998.64,,2.77,0.22
CS 22881-036,Ti I,4533.24,,2.85,0.2
CS 22881-036,Ti I,4534.78,,2.93,0.21
CS 22881-036,Ti I,5192.97,,3.06,0.23
CS 22881-036,Ti II,3489.74,,3.08,0.27
CS 22881-036,Ti II,3491.05,,2.89,0.32
CS 22881-036,Ti II,3761.32,,2.9,0.27
CS 22881-036,Ti II,4443.8,,2.91,0.23
CS 22881-036,Ti II,4450.48,,2.99,0.15
CS 22881-036,Ti II,4464.45,,3.07,0.15
CS 22881-036,Ti II,4501.27,,2.9,0.21
CS 22881-036,Ti II,4533.96,,3.04,0.25
CS 22881-036,Ti II,5188.69,,2.98,0.17
CS 22881-036,Ti II,5336.79,,3.14,0.15
CS 22881-036,Ti II,5418.77,,3.26,0.19
CS 22881-036,V II,3951.96,,1.98,0.28
CS 22881-036,V II,4005.71,,1.84,0.29
CS 22881-036,Cr I,4646.15,,3.09,0.21
CS 22881-036,Cr I,5206.04,,3.1,0.22
CS 22881-036,Cr I,5345.8,,3.22,0.22
CS 22881-036,Cr I,5409.77,,3.17,0.21
CS 22881-036,Mn I,4033.06,,2.78,0.32
CS 22881-036,Mn I,4041.35,,2.68,0.23
CS 22881-036,Mn I,4754.04,,2.75,0.26
CS 22881-036,Mn I,4823.52,,2.78,0.23
CS 22881-036,Mn II,3441.99,,2.7,0.3
CS 22881-036,Mn II,3482.9,,2.96,0.23
CS 22881-036,Mn II,3488.68,,2.71,0.25
CS 22881-036,Fe I,3440.99,,5.1,0.4
CS 22881-036,Fe I,3476.7,,5.19,0.42
CS 22881-036,Fe I,3490.57,,5.02,0.4
CS 22881-036,Fe I,3497.84,,5.22,0.42
CS 22881-036,Fe I,3565.38,,5.08,0.39
CS 22881-036,Fe I,3608.86,,5.07,0.39
CS 22881-036,Fe I,3727.62,,5.19,0.4
CS 22881-036,Fe I,3758.23,,5.08,0.38
CS 22881-036,Fe I,3765.54,,5.16,0.35
CS 22881-036,Fe I,3787.88,,5.22,0.4
CS 22881-036,Fe I,3815.84,,5.14,0.38
CS 22881-036,Fe I,3827.82,,5.16,0.39
CS 22881-036,Fe I,3840.44,,5.03,0.4
CS 22881-036,Fe I,3849.97,,5.29,0.4
CS 22881-036,Fe I,3856.37,,5.05,0.39
CS 22881-036,Fe I,3865.52,,5.25,0.4
CS 22881-036,Fe I,3878.02,,5.21,0.4
CS 22881-036,Fe I,3899.71,,5.27,0.39
CS 22881-036,Fe I,3902.95,,5.1,0.39
CS 22881-036,Fe I,3920.26,,5.23,0.4
CS 22881-036,Fe I,3949.95,,5.11,0.21
CS 22881-036,Fe I,4005.24,,5.05,0.38
CS 22881-036,Fe I,4045.81,,5.15,0.37
CS 22881-036,Fe I,4063.59,,5.19,0.39
CS 22881-036,Fe I,4071.74,,5.19,0.39
CS 22881-036,Fe I,4114.44,,5.15,0.22
CS 22881-036,Fe I,4132.06,,5.19,0.37
CS 22881-036,Fe I,4134.68,,5.22,0.21
CS 22881-036,Fe I,4147.67,,5.14,0.21
CS 22881-036,Fe I,4156.8,,5.3,0.21
CS 22881-036,Fe I,4175.64,,5.3,0.21
CS 22881-036,Fe I,4184.89,,5.24,0.2
CS 22881-036,Fe I,4187.04,,5.09,0.26
CS 22881-036,Fe I,4191.43,,5.09,0.23
CS 22881-036,Fe I,4202.03,,5.12,0.37
CS 22881-036,Fe I,4216.18,,5.13,0.21
CS 22881-036,Fe I,4222.21,,5.04,0.21
CS 22881-036,Fe I,4233.6,,5.12,0.25
CS 22881-036,Fe I,4250.12,,5.13,0.29
CS 22881-036,Fe I,4250.79,,5.26,0.38
CS 22881-036,Fe I,4260.47,,5.14,0.38
CS 22881-036,Fe I,4404.75,,5.16,0.39
CS 22881-036,Fe I,4461.65,,5.23,0.22
CS 22881-036,Fe I,4466.55,,5.21,0.21
CS 22881-036,Fe I,4489.74,,5.3,0.2
CS 22881-036,Fe I,4494.56,,5.12,0.21
CS 22881-036,Fe I,4531.15,,5.1,0.2
CS 22881-036,Fe I,4592.65,,5.08,0.21
CS 22881-036,Fe I,4602.94,,5.09,0.2
CS 22881-036,Fe I,4647.43,,5.13,0.21
CS 22881-036,Fe I,4890.76,,5.12,0.21
CS 22881-036,Fe I,4891.49,,5.24,0.27
CS 22881-036,Fe I,4903.31,,5.18,0.21
CS 22881-036,Fe I,4918.99,,5.15,0.22
CS 22881-036,Fe I,5051.63,,5.07,0.2
CS 22881-036,Fe I,5171.6,,5.07,0.21
CS 22881-036,Fe I,5192.34,,5.17,0.2
CS 22881-036,Fe I,5194.94,,5.05,0.2
CS 22881-036,Fe I,5216.27,,5.09,0.2
CS 22881-036,Fe I,5217.39,,5.22,0.21
CS 22881-036,Fe I,5232.94,,5.14,0.24
CS 22881-036,Fe I,5266.56,,5.13,0.2
CS 22881-036,Fe I,5281.79,,5.13,0.2
CS 22881-036,Fe I,5339.93,,5.2,0.2
CS 22881-036,Fe I,5364.87,,5.28,0.21
CS 22881-036,Fe I,5369.96,,5.1,0.2
CS 22881-036,Fe I,5371.49,,5.24,0.28
CS 22881-036,Fe I,5383.37,,5.14,0.2
CS 22881-036,Fe I,5397.13,,5.23,0.24
CS 22881-036,Fe I,5405.77,,5.26,0.25
CS 22881-036,Fe I,5410.91,,5.15,0.2
CS 22881-036,Fe I,5415.2,,5.15,0.2
CS 22881-036,Fe I,5429.7,,5.29,0.25
CS 22881-036,Fe I,5434.52,,5.17,0.21
CS 22881-036,Fe I,5497.52,,5.18,0.2
CS 22881-036,Fe I,5506.78,,5.1,0.2
CS 22881-036,Fe I,5586.76,,5.27,0.2
CS 22881-036,Fe I,6065.48,,5.09,0.21
CS 22881-036,Fe I,6136.61,,5.21,0.2
CS 22881-036,Fe I,6137.69,,5.13,0.21
CS 22881-036,Fe I,6191.56,,5.1,0.2
CS 22881-036,Fe I,6230.72,,5.25,0.2
CS 22881-036,Fe I,6393.6,,5.16,0.21
CS 22881-036,Fe I,6430.85,,5.25,0.21
CS 22881-036,Fe II,4178.86,,5.02,0.15
CS 22881-036,Fe II,4515.34,,5.11,0.15
CS 22881-036,Fe II,4555.89,,5.03,0.15
CS 22881-036,Fe II,4576.34,,5.21,0.16
CS 22881-036,Fe II,4583.84,,5.23,0.14
CS 22881-036,Fe II,5197.58,,5.2,0.15
CS 22881-036,Fe II,5234.63,,5.12,0.15
CS 22881-036,Fe II,5276.0,,5.12,0.14
CS 22881-036,Co I,3502.28,,2.62,0.44
CS 22881-036,Co I,3518.34,,2.65,0.29
CS 22881-036,Co I,3529.03,,2.66,0.29
CS 22881-036,Co I,3845.47,,2.66,0.26
CS 22881-036,Co I,4121.32,,2.57,0.23
CS 22881-036,Ni I,3452.89,,4.1,0.44
CS 22881-036,Ni I,3472.54,,4.01,0.45
CS 22881-036,Ni I,3492.96,,3.86,0.44
CS 22881-036,Ni I,3500.85,,3.91,0.41
CS 22881-036,Ni I,3519.77,,3.83,0.34
CS 22881-036,Ni I,3524.54,,3.85,0.43
CS 22881-036,Ni I,3597.7,,3.9,0.4
CS 22881-036,Ni I,3783.53,,4.04,0.36
CS 22881-036,Ni I,3807.14,,4.16,0.39
CS 22881-036,Ni I,5476.91,,3.84,0.24
CS 22881-036,Cu I,5105.5,<,2.6,
CS 22881-036,Zn I,4722.16,,2.72,0.26
CS 22881-036,Zn I,4810.54,,2.32,0.27
CS 22881-036,Rb I,7800.28,<,2.48,
CS 22881-036,Sr II,4077.71,,1.56,0.22
CS 22881-036,Sr II,4215.52,,1.55,0.24
CS 22881-036,Y II,3600.73,,0.96,0.34
CS 22881-036,Y II,3774.33,,0.76,0.25
CS 22881-036,Y II,4883.68,,0.91,0.16
CS 22881-036,Y II,5087.42,,0.66,0.15
CS 22881-036,Y II,5200.41,,0.72,0.17
CS 22881-036,Zr II,4149.2,,1.48,0.19
CS 22881-036,Zr II,4161.2,,1.28,0.19
