Name,Ion,lambda,l_logepsX,logepsX,e_logepsX
CS 22166-016,V II,3951.96,,1.04,0.26
CS 22166-016,V II,4005.71,,0.94,0.26
CS 22166-016,Cr I,4289.72,,2.11,0.33
CS 22166-016,Cr I,4646.15,,2.3,0.16
CS 22166-016,Cr I,5206.04,,2.22,0.18
CS 22166-016,Cr I,5298.28,,2.24,0.18
CS 22166-016,Cr I,5345.8,,2.3,0.17
CS 22166-016,Cr I,5409.77,,2.3,0.16
CS 22166-016,Cr II,4558.59,,2.55,0.19
CS 22166-016,Cr II,4588.14,,2.71,0.19
CS 22166-016,Mn I,4030.75,,1.66,0.4
CS 22166-016,Mn I,4033.06,,1.74,0.31
CS 22166-016,Mn I,4034.48,,1.78,0.27
CS 22166-016,Mn I,4041.35,,1.82,0.17
CS 22166-016,Mn II,3460.32,,1.56,0.24
CS 22166-016,Mn II,3482.9,,1.72,0.24
CS 22166-016,Mn II,3488.68,,1.76,0.24
CS 22166-016,Mn II,3497.53,,1.91,0.23
CS 22166-016,Fe I,3765.54,,4.13,0.25
CS 22166-016,Fe I,3787.88,,4.17,0.43
CS 22166-016,Fe I,3805.34,,4.19,0.2
CS 22166-016,Fe I,3840.44,,4.22,0.43
CS 22166-016,Fe I,3849.97,,4.28,0.43
CS 22166-016,Fe I,3865.52,,4.31,0.43
CS 22166-016,Fe I,3902.95,,4.27,0.42
CS 22166-016,Fe I,3920.26,,4.3,0.43
CS 22166-016,Fe I,3922.91,,4.29,0.42
CS 22166-016,Fe I,3949.95,,4.18,0.16
CS 22166-016,Fe I,4005.24,,4.31,0.41
CS 22166-016,Fe I,4063.59,,4.31,0.42
CS 22166-016,Fe I,4071.74,,4.33,0.43
CS 22166-016,Fe I,4114.44,,4.33,0.17
CS 22166-016,Fe I,4134.68,,4.28,0.15
CS 22166-016,Fe I,4143.87,,4.27,0.41
CS 22166-016,Fe I,4147.67,,4.27,0.16
CS 22166-016,Fe I,4154.5,,4.2,0.15
CS 22166-016,Fe I,4156.8,,4.3,0.15
CS 22166-016,Fe I,4157.78,,4.31,0.16
CS 22166-016,Fe I,4174.91,,4.25,0.15
CS 22166-016,Fe I,4175.64,,4.36,0.15
CS 22166-016,Fe I,4181.76,,4.3,0.17
CS 22166-016,Fe I,4182.38,,4.15,0.19
CS 22166-016,Fe I,4184.89,,4.18,0.15
CS 22166-016,Fe I,4187.04,,4.28,0.23
CS 22166-016,Fe I,4187.8,,4.23,0.23
CS 22166-016,Fe I,4191.43,,4.22,0.18
CS 22166-016,Fe I,4195.33,,4.39,0.15
CS 22166-016,Fe I,4199.1,,4.24,0.22
CS 22166-016,Fe I,4202.03,,4.21,0.39
CS 22166-016,Fe I,4222.21,,4.16,0.15
CS 22166-016,Fe I,4227.43,,4.34,0.19
CS 22166-016,Fe I,4233.6,,4.22,0.19
CS 22166-016,Fe I,4238.81,,4.25,0.15
CS 22166-016,Fe I,4250.12,,4.32,0.26
CS 22166-016,Fe I,4250.79,,4.21,0.38
CS 22166-016,Fe I,4260.47,,4.17,0.34
CS 22166-016,Fe I,4271.76,,4.33,0.43
CS 22166-016,Fe I,4282.4,,4.25,0.23
CS 22166-016,Fe I,4404.75,,4.37,0.43
CS 22166-016,Fe I,4415.12,,4.35,0.39
CS 22166-016,Fe I,4442.34,,4.3,0.15
CS 22166-016,Fe I,4447.72,,4.24,0.15
CS 22166-016,Fe I,4466.55,,4.33,0.15
CS 22166-016,Fe I,4489.74,,4.31,0.15
CS 22166-016,Fe I,4494.56,,4.3,0.16
CS 22166-016,Fe I,4531.15,,4.26,0.15
CS 22166-016,Fe I,4592.65,,4.33,0.15
CS 22166-016,Fe I,4602.94,,4.35,0.15
CS 22166-016,Fe I,4647.43,,4.29,0.16
CS 22166-016,Fe I,5006.12,,4.39,0.15
CS 22166-016,Fe I,5049.82,,4.23,0.15
CS 22166-016,Fe I,5051.63,,4.31,0.15
CS 22166-016,Fe I,5068.77,,4.26,0.15
CS 22166-016,Fe I,5079.22,,4.2,0.16
CS 22166-016,Fe I,5083.34,,4.22,0.15
CS 22166-016,Fe I,5123.72,,4.29,0.15
CS 22166-016,Fe I,5127.36,,4.26,0.15
CS 22166-016,Fe I,5131.47,,4.38,0.19
CS 22166-016,Fe I,5150.84,,4.17,0.15
CS 22166-016,Fe I,5151.91,,4.3,0.15
CS 22166-016,Fe I,5166.28,,4.28,0.15
CS 22166-016,Fe I,5171.6,,4.36,0.2
CS 22166-016,Fe I,5191.45,,4.18,0.15
CS 22166-016,Fe I,5194.94,,4.2,0.15
CS 22166-016,Fe I,5198.71,,4.22,0.16
CS 22166-016,Fe I,5216.27,,4.31,0.15
CS 22166-016,Fe I,5217.39,,4.15,0.19
CS 22166-016,Fe I,5232.94,,4.23,0.17
CS 22166-016,Fe I,5266.56,,4.22,0.15
CS 22166-016,Fe I,5281.79,,4.36,0.15
CS 22166-016,Fe I,5283.62,,4.25,0.15
CS 22166-016,Fe I,5307.36,,4.2,0.17
CS 22166-016,Fe I,5332.9,,4.23,0.16
CS 22166-016,Fe I,5339.93,,4.38,0.15
CS 22166-016,Fe I,5367.47,,4.39,0.16
CS 22166-016,Fe I,5369.96,,4.36,0.15
CS 22166-016,Fe I,5383.37,,4.15,0.15
CS 22166-016,Fe I,5410.91,,4.14,0.18
CS 22166-016,Fe I,5415.2,,4.29,0.15
CS 22166-016,Fe I,5497.52,,4.3,0.15
CS 22166-016,Fe I,5501.47,,4.32,0.15
CS 22166-016,Fe I,5506.78,,4.28,0.15
CS 22166-016,Fe I,5586.76,,4.31,0.15
CS 22166-016,Fe I,6065.48,,4.23,0.15
CS 22166-016,Fe I,6136.61,,4.32,0.15
CS 22166-016,Fe I,6137.69,,4.21,0.15
CS 22166-016,Fe I,6191.56,,4.28,0.15
CS 22166-016,Fe I,6230.72,,4.4,0.15
CS 22166-016,Fe I,6393.6,,4.32,0.15
CS 22166-016,Fe I,6421.35,,4.39,0.16
CS 22166-016,Fe I,6430.85,,4.32,0.15
CS 22166-016,Fe I,6494.98,,4.3,0.15
CS 22166-016,Fe I,6592.91,,4.36,0.16
CS 22166-016,Fe I,6677.99,,4.35,0.15
CS 22166-016,Fe II,4178.86,,4.34,0.16
CS 22166-016,Fe II,4233.17,,4.4,0.16
CS 22166-016,Fe II,4491.41,,4.36,0.16
CS 22166-016,Fe II,4515.34,,4.45,0.16
CS 22166-016,Fe II,4522.63,,4.47,0.15
CS 22166-016,Fe II,4555.89,,4.33,0.15
CS 22166-016,Fe II,4576.34,,4.44,0.17
CS 22166-016,Fe II,4583.84,,4.42,0.15
CS 22166-016,Fe II,5197.58,,4.34,0.16
CS 22166-016,Fe II,5234.63,,4.51,0.16
CS 22166-016,Fe II,5276.0,,4.46,0.15
CS 22166-016,Co I,3518.34,,1.72,0.27
CS 22166-016,Co I,3529.03,,1.71,0.32
CS 22166-016,Co I,3842.05,,1.84,0.21
CS 22166-016,Co I,3845.47,,1.8,0.29
CS 22166-016,Co I,4121.32,,1.74,0.22
CS 22166-016,Ni I,3472.54,,2.95,0.48
CS 22166-016,Ni I,3492.96,,3.05,0.45
CS 22166-016,Ni I,3500.85,,2.94,0.45
CS 22166-016,Ni I,3783.53,,3.09,0.41
CS 22166-016,Ni I,3807.14,,3.14,0.42
CS 22166-016,Ni I,5476.91,,3.1,0.2
CS 22166-016,Sr II,4077.71,,-0.58,0.31
CS 22166-016,Sr II,4215.52,,-0.43,0.3
CS 22166-016,Y II,3774.33,,-1.41,0.21
CS 22166-016,Zr II,4149.2,,-0.53,0.2
CS 22166-016,Zr II,4161.2,,-0.56,0.25
CS 22166-016,Zr II,4208.98,,-0.64,0.24
CS 22166-016,Nb II,3818.86,<,0.12,
CS 22166-016,Mo I,3864.1,<,-0.41,
CS 22166-016,Tc I,4262.27,<,-0.11,
CS 22166-016,Sn I,3801.02,<,0.95,
CS 22166-016,Ba II,4554.03,,-1.39,0.26
CS 22166-016,Ba II,6141.73,,-1.34,0.16
CS 22166-016,Ba II,6496.91,,-1.35,0.16
CS 22166-016,La II,4086.71,,-2.07,0.23
CS 22166-016,Ce II,3999.24,<,-1.03,
CS 22166-016,Ce II,4073.47,<,-1.1,
CS 22166-016,Ce II,4083.22,<,-1.49,
CS 22166-016,Ce II,4418.78,<,-1.62,
CS 22166-016,Ce II,4562.36,<,-1.21,
CS 22166-016,Pr II,4179.4,,-1.84,0.3
CS 22166-016,Nd II,4109.45,,-1.85,0.2
CS 22166-016,Eu II,3819.67,,-2.42,0.19
CS 22166-016,Eu II,3907.11,,-2.16,0.25
CS 22166-016,Eu II,4129.72,,-2.45,0.19
CS 22166-016,Gd II,4130.37,<,-1.21,
CS 22166-016,Gd II,4251.73,<,-0.97,
CS 22166-016,Dy II,3944.68,,-1.7,0.28
CS 22166-016,Er II,3830.48,,-1.7,0.43
CS 22166-016,Yb II,3694.2,,-2.1,0.19
CS 22166-016,Hf II,3918.09,<,-0.74,
CS 22166-016,Hf II,4093.15,<,-0.94,
CS 22166-016,Pb I,4057.81,<,0.53,
CS 22166-016,Th II,3539.59,<,-1.18,
CS 22166-016,Th II,4019.13,<,-1.95,
CS 22166-016,Th II,4094.75,<,-1.18,
CS 22169-008,Li I,6707.8,,2.02,0.2
CS 22169-008,O I,7771.94,,6.79,0.32
CS 22169-008,O I,7774.17,,6.63,0.33
CS 22169-008,Mg I,4057.51,,5.23,0.22
CS 22169-008,Mg I,4167.27,,5.25,0.21
CS 22169-008,Mg I,4702.99,,5.25,0.23
CS 22169-008,Mg I,5172.68,,5.06,0.4
CS 22169-008,Mg I,5183.6,,5.1,0.39
CS 22169-008,Mg I,5528.4,,5.29,0.21
CS 22169-008,Al I,3943.99,,2.95,0.37
CS 22169-008,Al I,3961.52,,2.88,0.37
CS 22169-008,Si I,3905.52,,5.1,0.44
CS 22169-008,Ca I,4226.73,,3.93,0.41
CS 22169-008,Ca I,4283.01,,3.98,0.23
CS 22169-008,Ca I,4318.65,,3.94,0.23
CS 22169-008,Ca I,4425.44,,4.08,0.23
CS 22169-008,Ca I,4434.96,,4.0,0.24
CS 22169-008,Ca I,4435.69,,3.89,0.23
CS 22169-008,Ca I,4454.78,,4.01,0.26
CS 22169-008,Ca I,4455.89,,4.04,0.23
CS 22169-008,Ca I,5588.76,,4.02,0.24
CS 22169-008,Ca I,5857.45,,3.85,0.25
CS 22169-008,Ca I,6122.22,,3.97,0.23
CS 22169-008,Ca I,6162.17,,3.97,0.23
