Table 2 
Mean Fe I Abundances Binned by Wavelength


Wavelength	angl0log epsilonangr0	Std. Dev.	N	Correction	
Range (Aring)	
HD 108317					
					
<2360	4.87	0.39	9	+0.10	
2360-3100	4.93	0.16	32	+0.04	
3100-3647	4.81	0.09	107	+0.16	
3647-4000	4.87	0.08	40	+0.10	
4000-4400	4.92	0.07	27	+0.05	
4400-6750	4.97	0.07	94	equiv0.0	
					
HD 128279					
					
<2360	4.80	0.27	10	+0.22	
2360-3100	4.91	0.17	28	+0.11	
3100-3647	4.83	0.10	96	+0.19	
3647-4000	4.91	0.07	32	+0.11	
4000-4400	4.97	0.07	19	+0.05	
4400-6750	5.02	0.07	91	equiv0.0	
