Species,lambda,chi,loggf,l_Wlambda,Wlambda,l_logepsX,logepsX
Li I,6707.761,0.00,-0.01,<,11,<,1.12
Li I,6707.912,0.00,-0.31,<,11,<,1.42
Na I,5889.951,0.00,0.12,,30,,1.83
Na I,5895.924,0.00,-0.18,,19,,1.90
Mg I,5172.684,2.71,-0.40,,10,,2.38
Mg I,5183.604,2.72,-0.18,,18,,2.45
Al I,3961.520,0.01,-0.32,<,10,<,0.93
Si I,3905.523,1.91,-1.09,<,20,<,2.55
S I,4034.028,6.86,-1.69,<,13,<,7.11
Ca I,4226.728,0.00,0.24,,25,,0.99
Ca II,3933.663,0.00,0.14,,,,1.44
Sc II,3572.526,0.02,0.27,<,30,<,-1.22
Sc II,3613.829,0.02,0.42,<,25,<,-1.50
Sc II,4314.083,0.62,-0.10,<,10,<,-0.89
Sc II,4320.732,0.61,-0.25,<,10,<,-0.75
Ti II,3349.408,0.05,0.59,,47,,-0.78
Ti II,3361.218,0.03,0.28,,33,,-0.75
Ti II,3372.800,0.01,0.27,,47,,-0.50
Ti II,3759.296,0.61,0.27,,23,,-0.41
Ti II,3761.323,0.57,0.17,,13,,-0.65
Cr I,4254.332,0.00,-0.11,<,10,<,0.65
Cr I,4274.796,0.00,-0.23,<,10,<,0.76
Mn I,4033.062,0.00,-0.62,<,10,<,0.47
Fe I,3440.606,0.00,-0.67,,62,,2.10
Fe I,3440.989,0.05,-0.96,,60,,2.41
Fe I,3465.861,0.11,-1.19,,34,,2.20
Fe I,3475.450,0.09,-1.05,,35,,2.07
Fe I,3490.574,0.05,-1.11,,32,,2.02
Fe I,3565.379,0.96,-0.13,,27,,1.95
Fe I,3570.098,0.92,0.15,,39,,1.84
Fe I,3581.193,0.86,0.41,,49,,1.71
Fe I,3608.859,1.01,-0.10,,29,,2.00
Fe I,3618.768,0.99,0.00,,30,,1.90
Fe I,3727.619,0.96,-0.63,,17,,2.11
Fe I,3758.233,0.96,-0.03,,39,,1.99
Fe I,3763.789,0.99,-0.24,,23,,1.93
Fe I,3815.840,1.49,0.24,,24,,2.02
Fe I,3820.425,0.86,0.12,,49,,1.91
Fe I,3824.444,0.00,-1.36,,42,,2.30
Fe I,3825.881,0.92,-0.04,,41,,1.99
Fe I,3840.438,0.99,-0.51,,21,,2.13
Fe I,3856.372,0.05,-1.29,,38,,2.21
Fe I,3859.911,0.00,-0.71,,67,,2.08
Fe I,3922.912,0.05,-1.65,,22,,2.24
Fe I,4045.812,1.49,0.28,,28,,2.03
Fe I,4063.594,1.56,0.06,,15,,2.00
Fe I,4071.738,1.61,-0.02,,16,,2.17
Fe I,5269.538,0.86,-1.32,,8,,2.20
Fe II,5018.440,2.89,-1.22,<,10,<,3.00
Fe II,5169.033,2.89,-1.30,<,10,<,3.08
Co I,3405.114,0.43,0.25,<,39,<,1.08
Co I,3453.508,0.43,0.38,<,35,<,0.86
Co I,3483.405,0.51,-1.00,<,32,<,2.27
Co I,3502.617,0.17,-1.24,<,32,<,2.12
Co I,3873.114,0.43,-0.66,<,19,<,1.44
Ni I,3414.760,0.03,-0.01,,32,,0.58
Ni I,3461.649,0.03,-0.35,,20,,0.63
Ni I,3515.049,0.11,-0.21,,21,,0.59
Ni I,3524.535,0.03,0.01,,36,,0.60
Zn I,3345.015,4.08,0.25,<,48,<,2.72
Zn I,3345.570,4.08,-0.50,<,48,<,3.46
Zn I,3345.937,4.08,-1.68,<,48,<,4.64
Zn I,4810.528,4.08,-0.14,<,10,<,1.97
Sr II,4077.709,0.00,0.17,<,10,<,-2.83
Sr II,4215.519,0.00,-0.14,<,10,<,-2.53
Ba II,4934.076,0.00,-0.15,<,10,<,-2.33
Eu II,4129.725,0.00,0.17,<,10,<,-1.99
