Species, N  , ID                      , l_logepsX, logepsX, e_logepsX, l_[X/H], [X/H], l_[X/Fe], [X/Fe]
Na     ,   2, SMSS J200228.85-533114.4,          , 3.65   ,      0.17,        , -2.6 ,         , 0.62
Na     ,   2, SMSS J200654.42-321157.7,          , 2.75   ,      0.04,        , -3.49,         , -0.23
Na     ,   2, SMSS J202057.49-522417.2,          , 3.88   ,      0.16,        , -2.36,         , 0.76
Na     ,   2, SMSS J202123.89-515742.8,          , 3.76   ,      0.01,        , -2.48,         , 0.13
Na     ,   2, SMSS J205313.80-651830.6,          , 4.4    ,      0.04,        , -1.84,         , 0.78
Na     ,   2, SMSS J210021.85-653627.9,          , 4.44   ,      0.02,        , -1.8 ,         , 0.09
Na     ,   2, SMSS J211340.44-520017.5,          , 4.33   ,      0.01,        , -1.91,         , 0.49
Na     ,   2, SMSS J215805.81-651327.2,          , 4.57   ,      0.02,        , -1.67,         , 1.75
Na     ,   2, SMSS J221448.33-453949.9,          , 4.0    ,      0.04,        , -2.25,         , 0.31
Na     ,   2, SMSS J224838.41-550635.1,          , 3.92   ,      0.04,        , -2.33,         , 0.55
Na     ,   2, SMSS J224843.95-543610.1,          , 4.14   ,      0.05,        , -2.1 ,         , 0.28
Na     ,   2, SMSS J225851.25-265434.9,          , 2.81   ,      0.06,        , -3.43,         , 0.06
Na     ,   2, SMSS J230013.16-263511.0,          , 3.47   ,      0.07,        , -2.77,         , 0.59
Na     ,   2, SMSS J230113.95-291458.2,          , 3.75   ,      0.06,        , -2.5 ,         , 0.03
Na     ,   2, 2MASS J23203653-3637223 ,          , 4.23   ,      0.0 ,        , -2.01,         , 0.62
Na     ,   2, 2MASS J23261426-3719492 ,          , 4.05   ,      0.03,        , -2.19,         , 0.36
Mg     ,   6, SMSS J000113.96-363337.9,          , 5.69   ,      0.09,        , -1.91,         , 0.42
Mg     ,   6, SMSS J001039.86-525851.4,          , 5.61   ,      0.1 ,        , -1.99,         , 0.32
Mg     ,   4, SMSS J001952.15-525803.0,          , 5.54   ,      0.14,        , -2.06,         , 0.5
Mg     ,   4, SMSS J002148.06-471132.1,          , 4.86   ,      0.09,        , -2.74,         , 0.43
Mg     ,   6, SMSS J003055.81-482011.3,          , 5.51   ,      0.11,        , -2.09,         , 0.44
Mg     ,   6, SMSS J003327.36-491037.9,          , 4.79   ,      0.08,        , -2.81,         , 0.56
Mg     ,   4, SMSS J004037.56-515025.2,          , 4.36   ,      0.07,        , -3.24,         , 0.59
Mg     ,   6, SMSS J005953.98-594329.9,          , 4.28   ,      0.1 ,        , -3.32,         , 0.6
Mg     ,   5, SMSS J010332.63-534654.3,          , 4.99   ,      0.06,        , -2.61,         , 0.42
Mg     ,   4, SMSS J010651.91-524410.5,          , 4.37   ,      0.12,        , -3.23,         , 0.57
Mg     ,   5, SMSS J010839.58-285701.5,          , 5.03   ,      0.05,        , -2.57,         , 0.45
Mg     ,   4, SMSS J012147.80-495328.2,          , 5.85   ,      0.11,        , -1.75,         , -0.16
Mg     ,   6, SMSS J014624.60-352457.7,          , 5.21   ,      0.05,        , -2.39,         , 0.42
Mg     ,   5, SMSS J015350.94-775525.6,          , 5.84   ,      0.09,        , -1.76,         , 0.86
Mg     ,   5, SMSS J015941.53-781408.7,          , 5.05   ,      0.08,        , -2.55,         , 0.56
Mg     ,   5, 2MASS J02031860-7930291 ,          , 5.09   ,      0.03,        , -2.51,         , 0.51
Mg     ,   6, SMSS J020748.93-465616.4,          , 5.38   ,      0.1 ,        , -2.22,         , 0.49
Mg     ,   6, SMSS J021323.26-495936.5,          , 5.24   ,      0.11,        , -2.36,         , 0.51
Mg     ,   6, SMSS J022410.38-534659.9,          , 4.78   ,      0.11,        , -2.82,         , 0.58
Mg     ,   5, SMSS J022423.27-573705.1,          , 4.25   ,      0.1 ,        , -3.35,         , 0.62
