Table 14 
Wavelengths, Excitation Potentials, log (gf) Values, and Derived Abundances


Species	Wavelength^a	EP	log (gf)	log epsilon	Instrument	Ref.	
Ti II	4464.45	1.16	-1.81	3.48	HARPS	8	
Ti II	4470.85	1.17	-2.02	3.35	HARPS	8	
Ti II	4533.96	1.24	-0.53	3.55	HARPS	8	
Ti II	4571.97	1.57	-0.32	3.56	HARPS	8	
Ti II	4583.41	1.16	-2.92	3.43	HARPS	8	
Ti II	4636.32	1.16	-3.02	3.37	HARPS	8	
Ti II	4657.20	1.24	-2.24	3.42	HARPS	8	
Ti II	4708.66	1.24	-2.34	3.51	HARPS	8	
Ti II	4798.53	1.08	-2.68	3.54	HARPS	8	
Ti II	5129.16	1.89	-1.24	3.34	HARPS	8	
Ti II	5185.90	1.89	-1.49	3.51	HARPS	8	
Ti II	5226.54	1.57	-1.26	3.47	HARPS	8	
Ti II	5336.79	1.58	-1.59	3.42	HARPS	8	
Ti II	5381.02	1.57	-1.92	3.42	HARPS	8	
Ti II	5418.77	1.58	-2.00	3.33	HARPS	8	
V I	4379.23	0.30	0.55	2.08	HARPS	9	
V II	3951.96	1.48	-0.78	2.30	HARPS	10	
V II	4005.71	1.82	-0.52	2.39	HARPS	10	
Cr I	3578.68	0.00	0.42	3.56	UVES	11	
Cr I	4274.80	0.00	-0.22	3.68	HARPS	11	
Cr I	4289.72	0.00	-0.37	3.53	HARPS	11	
Cr I	4545.95	0.94	-1.37	3.71	HARPS	11	
Cr I	4646.15	1.03	-0.74	3.67	HARPS	11	
Cr I	4651.28	0.98	-1.46	3.59	HARPS	11	
Cr I	4789.34	2.54	-0.33	3.68	HARPS	11	
Cr I	5206.04	0.94	0.02	3.61	HARPS	11	
Cr I	5296.69	0.98	-1.36	3.61	HARPS	11	
Cr I	5298.28	0.98	-1.14	3.57	HARPS	11	
Cr I	5345.80	1.00	-0.95	3.62	HARPS	11	
Cr I	5348.31	1.00	-1.21	3.57	HARPS	11	
Cr I	5409.77	1.03	-0.67	3.62	HARPS	11	
Cr II	4558.66	4.07	-0.66	4.12	HARPS	12	
Cr II	4588.21	4.07	-0.83	4.03	HARPS	12	
Cr II	4592.05	4.07	-1.42	4.10	HARPS	12	
Mn I	4041.35	2.11	0.28	3.19	HARPS	13	
Mn I	4754.04	2.28	-0.08	3.19	HARPS	13	
Mn I	4762.37	2.89	0.30	3.17	HARPS	13	
Mn I	4823.52	2.32	0.14	3.20	HARPS	13	
Mn I	6021.82	3.08	-0.05	3.18	HARPS	13	
Mn II	3441.99	1.78	-0.35	3.34	UVES	13	
Mn II	3460.32	1.81	-0.63	3.35	UVES	13	
Mn II	3482.90	1.83	-0.84	3.33	UVES	13	
Mn II	3488.68	1.85	-0.94	3.38	UVES	13	
Mn II	3495.83	1.85	-1.28	3.43	UVES	13	
Mn II	3497.53	1.85	-1.42	3.39	UVES	13	
Fe I	3849.97	1.01	-0.86	5.50	HARPS	14	
Fe I	3865.52	1.01	-0.95	5.56	HARPS	14	
Fe I	3920.26	0.12	-1.73	5.49	HARPS	14	
Fe I	3922.91	0.05	-1.63	5.47	HARPS	14	
Fe I	3949.95	2.18	-1.25	5.63	HARPS	14	
Fe I	4114.44	2.83	-1.30	5.59	HARPS	14	
Fe I	4134.68	2.83	-0.65	5.64	HARPS	14	
Fe I	4143.87	1.56	-0.51	5.50	HARPS	14	
Fe I	4147.67	1.48	-2.07	5.60	HARPS	14	
Fe I	4154.50	2.83	-0.69	5.52	HARPS	14	
Fe I	4157.78	3.42	-0.40	5.53	HARPS	14	
Fe I	4174.91	0.91	-2.94	5.62	HARPS	14	
Fe I	4175.64	2.85	-0.83	5.65	HARPS	14	
Fe I	4181.76	2.83	-0.37	5.64	HARPS	14	
Fe I	4182.38	3.02	-1.18	5.53	HARPS	14	
Fe I	4184.89	2.83	-0.87	5.60	HARPS	14	
Fe I	4187.04	2.45	-0.51	5.51	HARPS	14	
Fe I	4191.43	2.47	-0.67	5.54	HARPS	14	
Fe I	4195.33	3.33	-0.49	5.55	HARPS	14	
Fe I	4199.10	3.05	0.16	5.51	HARPS	14	
Fe I	4202.03	1.49	-0.69	5.47	HARPS	14	
Fe I	4216.18	0.00	-3.36	5.69	HARPS	14	
Fe I	4217.55	3.43	-0.48	5.54	HARPS	14	
Fe I	4222.21	2.45	-0.91	5.53	HARPS	14	
Fe I	4233.60	2.48	-0.58	5.52	HARPS	14	
Fe I	4238.81	3.40	-0.23	5.51	HARPS	14	
Fe I	4250.12	2.47	-0.38	5.53	HARPS	14	
Fe I	4250.79	1.56	-0.71	5.57	HARPS	14	
Fe I	4271.15	2.45	-0.34	5.52	HARPS	14	
Fe I	4282.40	2.18	-0.78	5.55	HARPS	14	
Fe I	4388.41	3.60	-0.68	5.60	HARPS	14	
Fe I	4415.12	1.61	-0.62	5.61	HARPS	14	
Fe I	4442.34	2.20	-1.23	5.66	HARPS	14	
Fe I	4443.19	2.86	-1.04	5.57	HARPS	14	
Fe I	4447.72	2.22	-1.34	5.61	HARPS	14	
Fe I	4466.55	2.83	-0.60	5.59	HARPS	14	
Fe I	4489.74	0.12	-3.90	5.56	HARPS	14	
Fe I	4494.56	2.20	-1.14	5.64	HARPS	14	
Fe I	4531.15	1.48	-2.10	5.57	HARPS	14	
Fe I	4592.65	1.56	-2.46	5.69	HIRES	14	
Fe I	4595.36	3.29	-1.76	5.58	HIRES	14	
Fe I	4602.94	1.49	-2.21	5.66	HARPS	14	
Fe I	4630.12	2.28	-2.59	5.67	HARPS	14	
Fe I	4643.46	3.64	-1.15	5.53	HARPS	14	
Fe I	4647.43	2.95	-1.35	5.65	HARPS	14	
Fe I	4733.59	1.49	-2.99	5.63	HARPS	14	
Fe I	4736.77	3.21	-0.75	5.65	HARPS	14	
Fe I	4786.81	3.00	-1.61	5.59	HARPS	14	
Fe I	4789.65	3.53	-0.96	5.64	HARPS	14	
Fe I	4800.65	4.12	-1.03	5.48	HARPS	14	
Fe I	4871.32	2.87	-0.36	5.49	HARPS	14	
Fe I	4872.14	2.88	-0.57	5.51	HARPS	14	
Fe I	4890.76	2.88	-0.39	5.51	HARPS	14	
Fe I	4891.49	2.85	-0.11	5.48	HARPS	14	
Fe I	4903.31	2.88	-0.93	5.58	HARPS	14	
Fe I	4918.99	2.85	-0.34	5.54	HARPS	14	
Fe I	4920.50	2.83	0.07	5.51	HARPS	14	
Fe I	4924.77	2.28	-2.11	5.52	HARPS	14	
Fe I	4938.81	2.88	-1.08	5.55	HARPS	14	
Fe I	4939.69	0.86	-3.25	5.53	HARPS	14	
Fe I	4966.09	3.33	-0.87	5.66	HARPS	14	
Fe I	4994.13	0.92	-2.97	5.58	HARPS	14	
Fe I	5006.12	2.83	-0.62	5.52	HARPS	14	
Fe I	5028.13	3.56	-1.12	5.53	HARPS	14	
Fe I	5044.21	2.85	-2.02	5.49	HARPS	14	
Fe I	5049.82	2.28	-1.36	5.58	HARPS	14	
Fe I	5051.63	0.92	-2.76	5.63	HARPS	14	
Fe I	5068.77	2.94	-1.04	5.58	HARPS	14	
Fe I	5079.22	2.20	-2.11	5.69	HARPS	14	
Fe I	5083.34	0.96	-2.84	5.55	HARPS	14	
Fe I	5123.72	1.01	-3.06	5.64	HARPS	14	
Fe I	5127.36	0.92	-3.25	5.61	HARPS	14	
Fe I	5131.47	2.22	-2.52	5.58	HARPS	14	
Fe I	5141.74	2.42	-2.24	5.63	HARPS	14	
Fe I	5150.84	0.99	-3.04	5.55	HARPS	14	
Fe I	5151.91	1.01	-3.32	5.66	HARPS	14	
Fe I	5166.28	0.00	-4.12	5.62	HARPS	14	
Fe I	5171.60	1.49	-1.72	5.61	HARPS	14	
Fe I	5191.45	3.04	-0.55	5.51	HIRES	14	
Fe I	5192.34	3.00	-0.42	5.52	HARPS	14	
Fe I	5194.94	1.56	-2.02	5.61	HARPS	14	
Fe I	5198.71	2.22	-2.09	5.57	HARPS	14	
Fe I	5216.27	1.61	-2.08	5.57	HARPS	14	
Fe I	5217.39	3.21	-1.16	5.63	HARPS	14	
Fe I	5225.53	0.11	-4.76	5.57	HARPS	14	
Fe I	5232.94	2.94	-0.06	5.48	HARPS	14	
Fe I	5242.49	3.63	-0.97	5.61	HARPS	14	
Fe I	5266.56	3.00	-0.39	5.53	HARPS	14	
Fe I	5281.79	3.04	-0.83	5.54	HARPS	14	
Fe I	5283.62	3.24	-0.52	5.59	HARPS	14	
Fe I	5307.36	1.61	-2.91	5.49	HIRES	14	
Fe I	5339.93	3.27	-0.72	5.61	HARPS	14	
Fe I	5364.87	4.45	0.23	5.60	HARPS	14	
Fe I	5367.47	4.42	0.44	5.49	HARPS	14	
Fe I	5379.57	3.69	-1.51	5.52	HARPS	14	
Fe I	5410.91	4.47	0.40	5.48	HARPS	14	
Fe I	5497.52	1.01	-2.83	5.65	HARPS	14	
Fe I	5501.47	0.96	-3.05	5.66	HARPS	14	
Fe I	5506.78	0.99	-2.79	5.68	HARPS	14	
Fe I	5586.76	3.37	-0.14	5.55	HARPS	14	
Fe I	5662.52	4.18	-0.57	5.65	HARPS	14	
Fe I	5701.54	2.56	-2.14	5.55	HARPS	14	
Fe I	5753.12	4.26	-0.69	5.66	HARPS	14	
Fe I	6065.48	2.61	-1.41	5.54	HARPS	14	
Fe I	6136.61	2.45	-1.41	5.62	HARPS	14	
Fe I	6137.69	2.59	-1.35	5.54	HARPS	14	
Fe I	6191.56	2.43	-1.42	5.56	HARPS	14	
Fe I	6219.28	2.20	-2.45	5.67	HARPS	14	
Fe I	6246.32	3.60	-0.88	5.69	HARPS	14	
Fe I	6265.13	2.18	-2.54	5.57	HARPS	14	
Fe I	6297.79	2.22	-2.64	5.53	HIRES	14	
Fe I	6393.60	2.43	-1.58	5.63	HARPS	14	
Fe I	6421.35	2.28	-2.01	5.60	HARPS	14	
Fe I	6430.85	2.18	-1.95	5.56	HARPS	14	
Fe I	6494.98	2.40	-1.24	5.64	HARPS	14	
Fe I	6592.91	2.73	-1.47	5.53	HIRES	14	
Fe I	6593.87	2.44	-2.37	5.53	HARPS	14	
Fe I	6677.99	2.69	-1.42	5.67	HARPS	14	
Fe I	6750.15	2.42	-2.58	5.65	HARPS	14	
Fe II	4178.86	2.58	-2.51	5.66	HARPS	15	
Fe II	4233.17	2.58	-1.97	5.80	HARPS	15	
Fe II	4491.41	2.86	-2.71	5.71	HARPS	15	
Fe II	4515.34	2.84	-2.60	5.81	HARPS	15	
Fe II	4555.89	2.83	-2.40	5.75	HARPS	15	
Fe II	4576.34	2.84	-2.95	5.73	HARPS	15	
Fe II	5197.58	3.23	-2.22	5.72	HARPS	15	
Fe II	5234.63	3.22	-2.18	5.73	HARPS	15	
Fe II	5276.00	3.20	-2.01	5.71	HARPS	15	
Fe II	5325.55	3.22	-3.16	5.68	HIRES	15	
Fe II	5414.07	3.22	-3.58	5.71	HIRES	15	
Co I	3412.34	0.51	0.03	3.06	UVES	16	
Co I	3412.63	0.00	-0.78	3.31	UVES	16	
Co I	3449.16	0.58	-0.09	2.88	UVES	16	
Co I	3529.03	0.17	-0.90	3.00	UVES	17	
Co I	3842.05	0.92	-0.77	3.09	HARPS	16	
Co I	3845.47	0.92	0.01	3.05	HARPS	16	
Co I	4121.32	0.92	-0.30	3.07	HARPS	17	
Ni I	3437.28	0.00	-1.21	4.33	UVES	18	
Ni I	3483.77	0.28	-1.12	4.27	UVES	1	
Ni I	3500.85	0.17	-1.29	4.30	UVES	18	
Ni I	3597.71	0.21	-1.12	4.27	UVES	18	
Ni I	3807.14	0.42	-1.22	4.30	HARPS	18	
Ni I	4605.00	3.48	-0.29	4.31	HARPS	1	
Ni I	4686.22	3.60	-0.64	4.20	HARPS	1	
Ni I	4904.41	3.54	-0.17	4.40	HARPS	1	
Ni I	5081.11	3.85	0.30	4.29	HARPS	1	
Ni I	5084.08	3.68	0.03	4.30	HARPS	1	
Ni I	5115.40	3.83	-0.11	4.37	HARPS	1	
Ni I	5155.76	3.90	-0.09	4.27	HARPS	1	
Ni I	6643.64	1.68	-2.30	4.30	HARPS	1	
Ni I	6767.77	1.83	-2.17	4.31	HARPS	1	
Cu I	3247.53	0.00	-0.06	1.39	UVES	19	
Cu I	3273.95	0.00	-0.36	1.40	UVES	19	
Cu II	1979.96	2.83	-0.59	2.00:	STIS	20	
Cu II	2037.13	2.83	-0.23	1.74	STIS	20	
Cu II	2054.98	2.93	-0.29	1.77	STIS	20	
Cu II	2104.80	2.97	-0.51	1.93	STIS	20	
Cu II	2112.10	3.25	-0.11	1.95:	STIS	20	
Cu II	2126.04	2.83	-0.23	1.85	STIS	20	
Zn I	3075.90	0.00	-3.85	2.81	UVES	1	
Zn I	3302.58	4.03	-0.02	2.75	UVES	21	
Zn I	3345.01	4.08	0.26	2.70	UVES	21	
Zn I	4680.14	4.01	-0.85	2.76	HARPS	21	
Zn I	4722.16	4.03	-0.37	2.72	HARPS	21	
Zn I	4810.53	4.08	-0.15	2.82	HARPS	21	
Zn II	2062.00	0.00	-0.29	2.94	STIS	22	
Ge I	1998.89	0.18	-0.78	<+1.5	STIS	1	
Ge I	2041.71	0.00	-0.70	<+1.4	STIS	23	
Ge I	2065.21	0.07	-0.79	<+1.2	STIS	1	
As I	1890.43	0.00	-0.19	0.20	STIS	24	
As I	1972.62	0.00	-0.63	0.92	STIS	20	
As I	1990.36	1.31	-0.28	0.67	STIS	24	
Se I	1960.89	0.00	-0.43	1.47	STIS	23	
Se I	2039.84	0.25	-0.74	1.57	STIS	23	
Se I	2074.78	0.00	-2.26	1.63	STIS	23	
Sr I	4607.33	0.00	0.28	0.85	HARPS	25	
Sr II	4077.71	0.00	0.15	1.15	HARPS	1	
Sr II	4161.79	2.94	-0.47	1.32	HARPS	1	
Sr II	4215.52	0.00	-0.17	1.20	HARPS	1	
Y II	3549.01	0.13	-0.29	0.33	UVES	26	
Y II	3584.52	0.10	-0.42	0.33	UVES	26	
Y II	3600.74	0.18	0.34	0.28	UVES	26	
Y II	3601.91	0.10	-0.15	0.27	UVES	26	
Y II	3611.04	0.13	0.05	0.23	UVES	26	
Y II	4398.01	0.13	-0.75	0.08	HARPS	26	
Y II	4883.68	1.08	0.19	0.26	HARPS	26	
Y II	4900.11	1.03	0.03	0.25	HARPS	26	
Y II	5087.42	1.08	-0.16	0.34	HARPS	26	
Y II	5200.41	0.99	-0.47	0.14	HARPS	26	
Y II	5205.73	1.03	-0.28	0.23	HARPS	26	
Zr II	1996.74	0.71	-0.04	1.00	STIS	27	
Zr II	3095.07	0.04	-0.84	1.00	UVES	28	
Zr II	3129.76	0.04	-0.54	1.07	UVES	28	
Zr II	3273.05	0.16	0.30	1.00	UVES	28	
Zr II	3279.26	0.10	0.12	0.95	UVES	28	
Zr II	3284.71	0.00	-0.37	1.08	UVES	28	
Zr II	3404.83	0.36	-0.49	1.04	UVES	28	
Zr II	3430.53	0.47	-0.16	1.07	UVES	28	
Zr II	3457.56	0.56	-0.47	1.06	UVES	27	
Zr II	3479.39	0.71	0.18	1.04	UVES	28	
Zr II	3481.15	0.80	0.29	0.94	UVES	27	
Zr II	3496.20	0.04	0.26	0.99	UVES	28	
Zr II	3505.67	0.16	-0.39	1.06	UVES	28	
Zr II	3551.95	0.10	-0.36	1.08	UVES	28	
Zr II	3556.59	0.47	0.07	0.98	UVES	28	
Zr II	3998.96	0.56	-0.52	1.09	HARPS	28	
Zr II	4050.32	0.71	-1.06	1.19	HARPS	28	
Zr II	4149.20	0.80	-0.04	1.11	HARPS	28	
Zr II	4161.20	0.71	-0.59	1.16	HARPS	28	
Zr II	4208.98	0.71	-0.51	1.12	HARPS	28	
Mo I	3864.10	0.00	-0.01	0.58	UVES	29	
Mo II	2015.11	0.00	-0.49	0.64	STIS	30	
Mo II	2020.31	0.00	0.02	0.64	STIS	30	
Mo II	2038.45	0.00	-0.34	0.47	STIS	30	
Mo II	2045.97	0.00	-0.35	0.68	STIS	30	
Ru I	3498.94	0.00	0.31	0.59	UVES	31	
Pd I	3404.58	0.81	0.33	-0.07	UVES	32	
Ag I	3382.90	0.00	-0.35	-0.89:	UVES	33	
Cd II	2144.39	0.00	0.02	-0.03	STIS	20	
Te I	2142.82	0.00	-0.32	0.67:	STIS	34	
Ba II	4130.65	2.72	0.52	0.45	HARPS	35	
Ba II	5853.69	0.60	-0.91	0.42	HARPS	35	
La II	3988.51	0.40	0.21	-0.47	HARPS	36	
La II	3995.74	0.17	-0.06	-0.31	HARPS	36	
La II	4086.71	0.00	-0.07	-0.34	HARPS	36	
La II	4123.22	0.32	0.13	-0.33	HARPS	36	
Ce II	3999.24	0.29	0.06	-0.02	HARPS	37	
Ce II	4073.47	0.48	0.21	0.11	HARPS	37	
Ce II	4083.22	0.70	0.27	0.17	HARPS	37	
Ce II	4137.65	0.52	0.40	0.02	HARPS	37	
Ce II	4222.60	0.12	-0.15	0.01	HARPS	37	
Ce II	4486.91	0.29	-0.18	0.19	HARPS	37	
Ce II	4562.36	0.48	0.21	0.00	HARPS	37	
Ce II	4572.28	0.68	0.22	0.13	HARPS	37	
Ce II	4628.16	0.52	0.14	-0.04	HARPS	37	
Nd II	3784.24	0.38	0.15	-0.12	UVES	38	
Nd II	3826.41	0.06	-0.41	0.08	UVES	38	
Nd II	4109.45	0.32	0.35	0.01	HARPS	38	
Nd II	4446.38	0.20	-0.35	-0.10	HARPS	38	
Sm II	3568.27	0.48	0.29	-0.42	UVES	39	
Sm II	4434.32	0.38	-0.07	-0.61	HARPS	39	
Sm II	4467.34	0.66	0.15	-0.32	HARPS	39	
Eu II	3724.93	0.00	-0.09	-0.85	UVES	40	
Eu II	3819.67	0.00	0.51	-0.83	HARPS	40	
Eu II	3907.11	0.21	0.17	-0.81	HARPS	40	
Eu II	4129.72	0.00	0.22	-0.76	HARPS	40	
Gd II	3549.36	0.24	0.29	-0.37	UVES	41	
Gd II	3768.40	0.08	0.21	-0.27	UVES	41	
Gd II	4251.73	0.38	-0.22	-0.25	HARPS	41	
Dy II	3531.71	0.00	0.77	-0.21	UVES	42	
Dy II	3536.02	0.54	0.53	-0.17	UVES	42	
Dy II	3550.22	0.59	0.27	-0.16	UVES	42	
Dy II	3563.15	0.10	-0.36	-0.20	UVES	42	
Dy II	3694.81	0.10	-0.11	-0.27	UVES	42	
Dy II	3944.68	0.00	0.11	-0.17	HARPS	42	
Er II	3830.48	0.00	-0.22	-0.41	HARPS	43	
Er II	3896.23	0.06	-0.12	-0.31	HARPS	43	
Er II	3906.31	0.00	0.12	-0.34	HARPS	43	
Yb II	2116.68	0.00	-1.34	-0.12:	STIS	44	
Yb II	2126.74	0.00	-0.87	-0.42	STIS	45	
Yb II	3694.20	0.00	-0.30	-0.49	UVES	46	
Os II	2067.23	0.45	-0.05	-0.12:	STIS	47	
Ir II	2126.81	0.00	0.07	0.35	STIS	47	
Pt I	2049.39	0.00	0.02	0.35	STIS	20	
Pt I	2067.51	0.00	-0.62	0.54	STIS	48	
Pt I	2103.34	0.10	-0.15	0.37	STIS	48	
Hg II	1927.27	0.00	-0.40	<+0.4	STIS	20	
Pb I	4057.81	1.32	-0.22	<+0.9	HARPS	49	
Notes.
a Air wavelengths are given for lambda > 2000 Aring and vacuum values below.
References. (1) Fuhr & Wiese 2009; (2) B. Plez 2007, private communication; (3) Kurucz & Bell 1995; (4) Chang & Tang 1990; (5) Aldenius et al. 2009; (6) Lawler & Dakin 1989, using hfs from Kurucz & Bell 1995; (7) Blackwell et al. 1982a, 1982b, increased by 0.056 dex according to Grevesse et al. 1989; (8) Pickering et al. 2001, with corrections given in Pickering et al. 2002; (9) Doerr et al. 1985, using hfs from Kurucz & Bell 1995; (10) Biemont et al. 1989; (11) Sobeck et al. 2007; (12) Nilsson et al. 2006; (13) Den Hartog et al. 2011 for both log(gf) value and hfs; (14) O'Brian et al. 1991; (15) Melendez & Barbuy 2009; (16) Cardon et al. 1982, using hfs from Kurucz & Bell 1995; (17) Nitz et al. 1999, using hfs from Kurucz & Bell 1995; (18) Blackwell et al. 1989; (19) Bielski 1975, using hfs/IS from J. S. Sobeck et al. in preparation; (20) this study; (21) Kerkhoff et al. 1980; (22) Bergeson & Lawler 1993; (23) Morton 2000; (24) Holmgren 1975, using hfs from this study; (25) Parkinson et al. 1976; (26) Biemont et al. 2011; (27) Malcheva et al. 2006; (28) Ljung et al. 2006; (29) Whaling & Brault 1988; (30) Sikstrom et al. 2001; (31) Wickliffe et al. 1994; (32) Xu et al. 2006; (33) Fuhr & Wiese 2009, using hfs/IS from Hansen et al. 2012; (34) Roederer et al. 2012a; (35) Fuhr & Wiese 2009, using hfs/IS from McWilliam 1998 when available; (36) Lawler et al. 2001a, using hfs from Ivans et al. 2006 when available; (37) Lawler et al. 2009; (38) Den Hartog et al. 2003, using hfs/IS from Roederer et al. 2008 when available; (39) Lawler et al. 2006, using hfs/IS from Roederer et al. 2008 when available; (40) Lawler et al. 2001b, using hfs/IS from Ivans et al. 2006; (41) Den Hartog et al. 2006; (42) Wickliffe et al. 2000; (43) Lawler et al. 2008; (44) log (gf) value from the Database on Rare Earths At Mons University (DREAM), using hfs/IS from this study; (45) Kedzierski et al. 2010, using hfs/IS from this study; (46) Sneden et al. 2009 for both log (gf) and hfs/IS; (47) Ivarsson et al. 2004; (48) Den Hartog et al. 2005; (49) Biemont et al. 2000, using hfs/IS from Roederer et al. 2012b.
