Table 14 
Wavelengths, Excitation Potentials, log (gf) Values, and Derived Abundances


Species	Wavelength^a	EP	log (gf)	log epsilon	Instrument	Ref.	
	(Aring)	(eV)					
Be II	3130.42	0.00	-0.18	-0.35	UVES	1	
Be II	3131.07	0.00	-0.48	-0.38	UVES	1	
C (CH)	4290-4325	 ... 	 ... 	6.51	HARPS	2	
N (NH)	3357-3365	 ... 	 ... 	6.61	UVES	3	
O (OH)	3110-3130	 ... 	 ... 	7.22	UVES	3	
Na I	5682.63	2.10	-0.71	4.56	HARPS	1	
Na I	5688.20	2.10	-0.41	4.61	HARPS	1	
Mg I	4167.27	4.35	-0.74	6.14	HARPS	4	
Mg I	4702.99	4.33	-0.44	5.57	HARPS	4	
Mg I	5528.40	4.34	-0.50	5.88	HARPS	4	
Mg I	5711.09	4.34	-1.72	5.91	HARPS	4	
Si I	5701.10	4.93	-2.05	5.94	HARPS	1	
Si I	5708.40	4.93	-1.47	5.92	HARPS	1	
Si I	5772.15	5.06	-1.75	5.86	HARPS	1	
Ca I	4283.01	1.89	-0.22	4.86	HARPS	1	
Ca I	4318.65	1.89	-0.21	4.74	HARPS	1	
Ca I	4425.44	1.88	-0.36	4.73	HARPS	1	
Ca I	4434.96	1.89	-0.01	4.67	HARPS	1	
Ca I	4435.69	1.89	-0.52	4.80	HIRES	1	
Ca I	4454.78	1.90	0.26	4.63	HARPS	1	
Ca I	4455.89	1.90	-0.53	4.80	HARPS	1	
Ca I	5588.76	2.52	0.21	4.91	HARPS	1	
Ca I	5857.45	2.93	0.23	4.79	HARPS	1	
Ca I	6102.72	1.88	-0.85	4.79	HARPS	5	
Ca I	6122.22	1.89	-0.38	4.89	HARPS	5	
Ca I	6162.17	1.90	-0.17	4.91	HARPS	5	
Ca I	6439.07	2.52	0.47	4.67	HARPS	1	
Sc II	3576.34	0.01	0.01	1.62	UVES	6	
Sc II	3590.47	0.02	-0.55	1.74	UVES	6	
Sc II	4246.84	0.32	0.24	1.36	HARPS	6	
Sc II	4400.40	0.60	-0.54	1.38	HARPS	6	
Sc II	4415.56	0.59	-0.67	1.41	HARPS	6	
Sc II	4670.42	1.36	-0.58	1.32	HARPS	6	
Sc II	5526.79	1.77	0.02	1.34	HARPS	6	
Sc II	5657.90	1.51	-0.60	1.41	HARPS	6	
Ti I	3998.64	0.05	0.01	3.31	HARPS	7	
Ti I	4512.73	0.84	-0.42	3.34	HARPS	7	
Ti I	4518.02	0.83	-0.27	3.28	HARPS	7	
Ti I	4533.25	0.85	0.53	3.32	HARPS	7	
Ti I	4534.78	0.84	0.34	3.28	HARPS	7	
Ti I	4548.76	0.83	-0.30	3.28	HARPS	7	
Ti I	4555.49	0.85	-0.43	3.24	HARPS	7	
Ti I	4656.47	0.00	-1.29	3.36	HARPS	7	
Ti I	4681.91	0.05	-1.02	3.24	HARPS	7	
Ti I	4840.87	0.90	-0.45	3.39	HARPS	7	
Ti I	4981.73	0.84	0.56	3.30	HARPS	7	
Ti I	4999.50	0.83	0.31	3.32	HARPS	7	
Ti I	5016.16	0.85	-0.52	3.29	HARPS	7	
Ti I	5173.74	0.00	-1.06	3.33	HARPS	7	
Ti I	5192.97	0.02	-0.95	3.33	HARPS	7	
Ti I	5210.39	0.05	-0.83	3.31	HARPS	7	
Ti II	3321.70	1.23	-0.31	3.38	UVES	8	
Ti II	3343.76	0.15	-1.15	3.54	UVES	8	
Ti II	3491.05	0.11	-1.15	3.61	UVES	8	
Ti II	4028.34	1.89	-0.96	3.49	HARPS	8	
Ti II	4394.06	1.22	-1.78	3.46	HARPS	8	
Ti II	4395.03	1.08	-0.54	3.49	HARPS	8	
Ti II	4395.84	1.24	-1.93	3.40	HARPS	8	
Ti II	4399.77	1.24	-1.19	3.51	HARPS	8	
Ti II	4417.71	1.17	-1.19	3.52	HARPS	8	
Ti II	4418.33	1.24	-1.97	3.47	HARPS	8	
Ti II	4443.80	1.08	-0.72	3.62	HARPS	8	
Ti II	4444.55	1.12	-2.24	3.47	HARPS	8	
Ti II	4450.48	1.08	-1.52	3.51	HARPS	8	
