Name,Species,f_Species,N,logepsX_sun,l_[X/H],[X/H],u_[X/H],l_[X/Fe],[X/Fe],u_[X/Fe],e_logepsX
TucII-306,Fe I,,59,7.50,,-3.26,,,0.00,,0.22
TucII-306,Fe II,,4,7.50,,-3.24,,,0.02,,0.22
TucII-306,Co I,,2,4.99,,-3.22,,,0.04,,0.42
TucII-306,Sr II,,1,2.87,,-4.63,,,-1.37,,0.30
TucII-306,Ba II,,1,2.18,<,-4.46,,<,-1.20,,
TucII-306,Eu I,,1,0.52,<,-2.21,,<,1.05,,
TucII-309,C-H,,2,8.43,,-1.46,,,0.48,,0.22
#TucII-309,C-H,b,2,8.43,,-1.29,,,0.65,,0.22
TucII-309,Na I,,2,6.24,,-2.44,,,-0.50,,0.22
TucII-309,Mg I,,5,7.60,,-2.28,,,-0.34,,0.22
TucII-309,Al I,,1,6.45,,-1.93,:,,0.01,:,
TucII-309,Si I,,2,7.51,,-2.52,:,,-0.58,:,
TucII-309,Ca I,,15,6.34,,-1.56,,,0.38,,0.22
TucII-309,Sc II,,2,3.15,,-3.23,,,-1.29,,0.33
TucII-309,Ti I,,6,4.95,,-2.02,,,-0.08,,0.22
TucII-309,Ti II,,18,4.95,,-1.94,,,0.00,,0.24
TucII-309,Cr II,,1,5.64,,-1.50,,,0.44,,0.40
TucII-309,Cr I,,13,5.64,,-1.87,,,0.07,,0.23
TucII-309,Mn I,,3,5.43,,-3.32,,,-1.38,,0.22
TucII-309,Fe I,,126,7.50,,-1.94,,,0.00,,0.22
TucII-309,Fe II,,10,7.50,,-1.91,,,0.03,,0.33
TucII-309,Sr II,,1,2.87,,-3.73,,,-1.79,,0.50
TucII-309,Ba II,,1,2.18,<,-4.03,,<,-2.09,,
TucII-309,Eu I,,1,0.52,<,-1.73,,<,0.21,,
