Found, Query_ID        , RA_input, DEC_input, MAIN_ID                , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE     , SP_TYPE, RA_2         , DEC_2        , PMRA   , PMDEC   , PLX_VALUE, RV_VALUE , SCRIPT_NUMBER_ID
True , BD +23 3130     ,         ,          , BD+23  3130            , 17 32 41.6247, +23 44 11.625,      14,       14,       0.007 ,       0.0094,            90, A       , O             , 2020yCat.1350....0G,       ,       ,  8.9  ,  8.6  ,       ,  7.42 ,  7.026,  6.952, ChemPec*  , G0III  , 17 32 41.6247, +23 44 11.625, -332.74, -88.094 ,    3.4089, -283.38  ,                1
True , BD +24 1676     ,         ,          , BD+24  1676            , 07 30 41.2662, +24 05 10.248,      14,       14,       0.0158,       0.0123,            90, A       , O             , 2020yCat.1350....0G,       , 11.15 , 10.7  , 10.4  ,       ,  9.811,  9.545,  9.541, ChemPec*  , F      , 07 30 41.2662, +24 05 10.248, 162.379, -233.155,    3.9637, -237.09  ,                1
True , BPS BS 16077-007,         ,          , BPS BS 16077-0007      , 11 35 17.9891, +31 00 23.431,      14,       14,       0.0118,       0.0126,            90, A       , O             , 2020yCat.1350....0G,       , 12.79 , 12.4  , 12.49 ,       , 11.47 , 11.206, 11.173, ChemPec*  ,        , 11 35 17.9891, +31 00 23.431, -33.159, -80.975 ,    2.3366, -36.7    ,                1
True , BPS CS 22872-102,         ,          , BPS CS 22872-0102      , 16 29 20.6944, -03 04 56.728,      14,       14,       0.0129,       0.0075,            90, A       , O             , 2020yCat.1350....0G,       , 14.33 , 13.67 , 13.64 ,       , 12.08 , 11.755, 11.622, ChemPec*  ,        , 16 29 20.6944, -03 04 56.728, -18.181, -95.465 ,    2.2545, -42.0    ,                1
True , BPS CS 22878-027,         ,          , BPS CS 22878-0027      , 16 37 35.8437, +10 22 07.754,      14,       14,       0.012 ,       0.0089,            90, A       , O             , 2020yCat.1350....0G,       , 14.86 , 14.4  , 14.45 ,       , 13.348, 12.984, 12.97 , ChemPec*  , CEMP-no, 16 37 35.8437, +10 22 07.754, -3.493 , -61.323 ,    1.2653, -116.0   ,                1
True , BPS CS 22880-086,         ,          , BPS CS 22880-0086      , 20 45 47.5279, -18 33 32.356,      14,       14,       0.0183,       0.0093,            90, A       , O             , 2020yCat.1350....0G,       , 15.08 , 14.32 , 14.36 ,       , 12.84 , 12.384, 12.288, ChemPec*  ,        , 20 45 47.5279, -18 33 32.356, 1.952  , -9.158  ,    0.2132, -90.0    ,                1
True , BPS CS 22965-054,         ,          , BPS CS 22965-0054      , 22 06 30.2933, -02 32 34.433,      14,       14,       0.0273,       0.0278,            90, A       , O             , 2020yCat.1350....0G,       , 15.69 , 15.07 , 14.732, 14.072, 13.861, 13.583, 13.449, ChemPec*  , CEMP-no, 22 06 30.2933, -02 32 34.433, 27.379 , 0.959   ,    0.634 , -281.9   ,                1
True , BPS CS 29506-007,         ,          , BPS CS 29506-0007      , 21 20 28.6541, -20 46 22.955,      14,       14,       0.02  ,       0.0134,            90, A       , O             , 2020yCat.1350....0G,       ,       , 14.18 ,       ,       , 13.174, 12.934, 12.872, ChemPec*  ,        , 21 20 28.6541, -20 46 22.955, -7.892 , -20.326 ,    0.8495, 46.0     ,                1
True , BPS CS 29522-046,         ,          , BPS CS 29522-0046      , 23 44 59.8584, +08 46 52.866,      14,       14,       0.0127,       0.0095,            90, A       , O             , 2020yCat.1350....0G,       , 13.29 , 12.78 , 12.72 ,       , 11.436, 11.164, 11.093, ChemPec*  ,        , 23 44 59.8584, +08 46 52.866, 81.57  , -5.372  ,    2.8491, -103.99  ,                1
True , BPS CS 31085-024,         ,          , 2MASS J00082794+1054198, 00 08 27.9327, +10 54 19.831,      14,       14,       0.0186,       0.0128,            90, A       , O             , 2020yCat.1350....0G,       , 14.62 , 14.0  ,       ,       , 12.633, 12.35 , 12.27 , ChemPec*  ,        , 00 08 27.9327, +10 54 19.831, 67.973 , -35.832 ,    2.2117, -324.34  ,                1
True , BPS BS 16467-062,         ,          , BPS BS 16467-0062      , 13 42 00.6326, +17 48 40.826,      14,       14,       0.0128,       0.0106,            90, A       , O             , 2020yCat.1350....0G,       , 14.69 , 14.09 , 13.665, 13.216, 12.68 , 12.221, 12.198, ChemPec*  ,        , 13 42 00.6326, +17 48 40.826, -18.191, 3.921   ,    0.2607, -90.0    ,                1
True , BPS BS 16550-087,         ,          , BPS BS 16550-0087      , 14 10 26.7272, +18 01 23.732,      14,       14,       0.0137,       0.0104,            90, A       , O             , 2020yCat.1350....0G,       , 14.59 , 13.76 , 13.211, 12.688, 11.912, 11.409, 11.306, ChemPec*  ,        , 14 10 26.7272, +18 01 23.732, 1.603  , -3.524  ,    0.0817, -149.6   ,                1
True , BPS BS 16545-089,         ,          , BPS BS 16545-0089      , 11 24 27.5182, +36 50 28.816,      14,       14,       0.0165,       0.0232,            90, A       , O             , 2020yCat.1350....0G,       , 14.76 , 14.44 , 14.039, 13.812, 13.516, 13.267, 13.202, ChemPec*  ,        , 11 24 27.5182, +36 50 28.816, 10.31  , -34.117 ,    0.6443, -161.1   ,                1
